company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cơ Khí Cân Bằng Đức Bảo - Công Ty TNHH MTV Cơ Khí Cân Bằng Đức Bảo,"A118, Tổ 34, KP. 7, P. Tân Phong, Biên Hòa,","Cân Bằng Động - Dịch Vụ Cân Bằng Động__Máy Móc, Thiết Bị Cơ Khí - Dịch Vụ Sửa Chữa, Bảo Trì, Nâng Cấp__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Quạt Công Nghiệp",www.canbangdongducbao.com__www.canbangdongbinhduong.com,'0913612433',Mr. Toản,,male,,nthuybao@gmail.com,https://www.yellowpages.vn/lgs/1187768157/co-khi-can-bang-duc-bao-cong-ty-tnhh-mtv-co-khi-can-bang-duc-bao.html
Công Ty TNHH Cơ Khí DIM,"Số 115 Lê Lâm, P. Phú Thạnh, Q. Tân Phú,",Cân Bằng Động - Dịch Vụ Cân Bằng Động__Cơ Khí -  Gia Công và Chế Tạo,www.canbangdong.vn__www.cokhidim.com,'02862759226__0976575851__0906967226',Mr. Trần Thạch Phong,,male,,canbangdong@gmail.com,https://www.yellowpages.vn/lgs/1187694177/cong-ty-tnhh-co-khi-dim.html
Cân Bằng Động DB - Công Ty TNHH DB,"Số 2, Ngõ 439 Liên Phương, Phường Phương Đông, Tp. Uông Bí,",Cân Bằng Động - Dịch Vụ Cân Bằng Động,www.vibration-balancing.com__www.canbangdong.bizz.vn,'0984045692',Mr. Nguyễn Việt Điển,,male,,dien.balancing@gmail.com,https://www.yellowpages.vn/lgs/1187852163/can-bang-dong-db-cong-ty-tnhh-db.html
Cân Bằng Động AVITEK - Công Ty Cổ Phần Kỹ Thuật Thiết Bị Âu Việt,"113/4D Cống Lở, P. 15, Q. Tân Bình,",Cân Bằng Động - Dịch Vụ Cân Bằng Động,www.avitek.vn,'02873040880__0982150978',Mr. Hoàng Anh Tuấn,,male,,tuan.hoang@avitek.vn,https://www.yellowpages.vn/lgs/1187900718/can-bang-dong-avitek-cong-ty-co-phan-ky-thuat-thiet-bi-au-viet.html
Công Ty TNHH Phát Triển Công Nghệ Việt,"1199/50 Phạm Thế Hiển, P. 5, Q. 8,",Cân Bằng Động - Dịch Vụ Cân Bằng Động__Cơ Khí -  Gia Công và Chế Tạo,www.cnc-viet.com,'0913502282__0913159991',Mr. Trần Minh Tuấn,,male,,maycanbangdong@yahoo.com,https://www.yellowpages.vn/lgs/986487/cong-ty-tnhh-phat-trien-cong-nghe-viet.html
Viện Nghiên Cứu Cơ Khí - Narime,"Số 4 Phạm Văn Đồng, P. Mai Dịch, Q. Cầu Giấy,","Cân Bằng Động - Dịch Vụ Cân Bằng Động__Cảm Biến - Thiết Bị Cảm Biến__Đo Lường, Đo Đạc - Thiết bị Đo Lường, Đo Đạc",www.bkvibro.vn,'02437644761__0916083766',Mr. Nam,,male,,nambt@narime.gov.vn,https://www.yellowpages.vn/lgs/1187855826/vien-nghien-cuu-co-khi-narime.html
Trung Tâm Cân Bằng Động Bách Khoa,"Số 21, Đường Số 53, P. Tân Tạo, Q. Bình Tân,",Cân Bằng Động - Dịch Vụ Cân Bằng Động,www.bk-balancing.com,'0903314326__02837540670',Mr. Nguyễn Bảo Cầm,,male,Quản Lý,baocam2189qn@gmail.com,https://www.yellowpages.vn/lgs/1187702532/trung-tam-can-bang-dong-bach-khoa.html
Chi Nhánh Cân Bằng Động DB - Công Ty TNHH DB,"Hai Bà Trưng,","Máy Phát Điện__Bộ, Bình Lưu Điện (UPS)__Cân Bằng Động - Dịch Vụ Cân Bằng Động__Biến Tần (Inverter)__Thiết bị Đóng Cắt Điện__Tủ Bảng Điện__Thiết Bị Điện - Sản Xuất và Cung Cấp Thiết Bị Điện__ổn áp",www.canbangdong.bizz.vn,'0984045692',Hotline,X,,,dien.balancing@gmail.com,https://www.yellowpages.vn/lgs/1187764890/chi-nhanh-can-bang-dong-db-cong-ty-tnhh-db.html
Cân Bằng Động Chất Lượng Cao - Công Ty TNHH Kỹ Thuật Sản Xuất Thương Mại Cao Lãnh,"133/10, Đường 1, P. Bình Hưng Hòa A, Q. Bình Tân,",Cân Bằng Động - Dịch Vụ Cân Bằng Động,www.xulyrungdong.com__www.canbangdongclc.com,'0913711044__02854264418__0918695353',Hotline,X,,,thienlanhnguyen@gmail.com,https://www.yellowpages.vn/lgs/1187855808/can-bang-dong-chat-luong-cao-cong-ty-tnhh-ky-thuat-san-xuat-thuong-mai-cao-lanh.html
Cân Bằng Hải Minh - Công Ty TNHH Cân Bằng Hải Minh,"252/35 Đường Phan Trung, Tổ 6, KP. 2, P. Tân Tiến, TP. Biên Hòa,",Cân Bằng Động - Dịch Vụ Cân Bằng Động__Cơ Khí -  Gia Công và Chế Tạo,www.canbangdong.com__www.canbangdong.net,'0903656061__0918445413',Ông Võ Tá Huề,,male,Giám Đốc,huecanbang@gmail.com,https://www.yellowpages.vn/lgs/1187683953/can-bang-hai-minh-cong-ty-tnhh-can-bang-hai-minh.html
