company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cơ Khí Công Nghiệp Long Thành  - Công Ty Cổ Phần Cơ Khí Công Nghiệp Long Thành,"Số 191, Đường 769, Tổ 2, Ấp Bình Lâm, X. Lộc An, H. Long Thành,","Cơ Khí -  Gia Công và Chế Tạo__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Cơ Khí - Chế Tạo Máy__Dây Chuyền Sản Xuất - Thiết Kế Và Chế Tạo__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)",www.wemeco.com.vn,'0978905600',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187892744/co-khi-cong-nghiep-long-thanh--cong-ty-co-phan-co-khi-cong-nghiep-long-thanh.html
Cơ Khí Minh Quân - Công Ty TNHH Cơ Khí Xây Dựng Và Thương Mại Minh Quân,"649/95 Điện Biên Phủ, P. 25, Q. Bình Thạnh,","Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Cơ Khí -  Gia Công và Chế Tạo__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp",www.minhquantmc.com.vn,'0906893003__02835125693__0912893003',Ông Võ Hóa,,male,Nhân Viên,hoavo@minhquantmc.com.vn,https://www.yellowpages.vn/lgs/1187803332/co-khi-minh-quan-cong-ty-tnhh-co-khi-xay-dung-va-thuong-mai-minh-quan.html
Cơ Khí Vạn Kim Bảo - Công Ty TNHH Vạn Kim Bảo,"53 Lô S1, Đường Số 3, KP. 12, P. An Binh, TP. Biên Hòa,","Cơ Khí -  Gia Công và Chế Tạo__Khuôn Nhựa Gia Dụng__Khuôn Dập (Dập Nóng, Lạnh, Vuốt, Liên Hoàn)__Khuôn Mẫu - Linh Phụ Kiện Khuôn Mẫu__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Khuôn Mẫu__Khuôn Đúc, Khuôn Đúc áp Lực",www.vankimbao.bizz.vn,'0909953579',Mr. Thắng,,male,Giám Đốc,infovankimbaocompany@gmail.com,https://www.yellowpages.vn/lgs/1187690109/co-khi-van-kim-bao-cong-ty-tnhh-van-kim-bao.html
Cơ Khí Thông Phát - Công Ty TNHH Cơ Khí Thông Phát,"Số 416/3, KP. Thạnh Bình, P. An Thạnh, TX. Thuận An,","Cơ Khí -  Gia Công và Chế Tạo__Thang Máng Cáp, Thang Cáp, Máng Cáp__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Chế Tạo Máy__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.cokhithongphat.com,'0933273080__0939071517',Hotline,X,,,cokhithongphat@gmail.com,https://www.yellowpages.vn/lgs/1187873970/co-khi-thong-phat-cong-ty-tnhh-co-khi-thong-phat.html
Cơ Khí Đức Phát Triển  - Công Ty TNHH Chế Tạo Đức Phát Triển,"123A/99, Khu Phố 10, P. Hố Nai, Tp. Biên Hòa,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.hoanganhduc.bizz.vn,'0398898560__02513980929',Bà Lưu Hoài Thương,,female,Nhân viên kế toán,lhthuongk8@gmail.com,https://www.yellowpages.vn/lgs/1187729424/co-khi-duc-phat-trien--cong-ty-tnhh-che-tao-duc-phat-trien.html
Cơ Khí Tuấn Mây - Công Ty TNHH Thương Mại & Sản Xuất Cơ Khí Tuấn Mây,"KCN Thanh Thùy, Thôn Rùa Hạ , X. Thanh Thùy, H. Thanh Oai,","Cơ Khí -  Gia Công và Chế Tạo__Kẹp Xà Gồ (Hình Vuông, Chữ C, Kẹp Dầm,..)__Phụ Tùng Ô Tô, Phụ Tùng Xe Hơi__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.cokhituanmay.com__www.cokhituanmay.bizz.vn,'0988633746__0981888465__0984235222',Mr. Nguyễn Quang Tuấn,,male,Giám đốc,cokhigiaphat199@gmail.com,https://www.yellowpages.vn/lgs/1187771403/co-khi-tuan-may-cong-ty-tnhh-thuong-mai---san-xuat-co-khi-tuan-may.html
PROSTEEL TECHNO Việt Nam - Công Ty TNHH PROSTEEL TECHNO Việt Nam,"Km 14 Đường Đại Lộ Thăng Long, X. Vân Côn, H. Hoài Đức,","Băng Tải Xích__Cơ Khí -  Gia Công và Chế Tạo__Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Băng Tải - Các Công Ty Băng Tải__Băng Tải Con Lăn__Băng Tải Cao Su__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Kệ Sàn, Kệ Sàn Thép__Băng Tải Nhựa - Băng tải PVC, PU, PE,..__Xe Đẩy Hàng, Xe Kéo Hàng",www.prosteel.vn,'02437835702__0915057229',Mr. Quỳnh,,male,,quynhnm@prosteel.vn,https://www.yellowpages.vn/lgs/1187701125/prosteel-techno-viet-nam-cong-ty-tnhh-prosteel-techno-viet-nam.html
Công Ty TNHH Cơ Khí An Vạn Phúc,"149 Phan Đăng Lưu, Phường Long Bình, Biên Hòa,","Cơ Khí -  Gia Công và Chế Tạo__Lưỡi Dao, Dao Cắt Công Nghiệp__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Nhà Thép Tiền Chế__Lò Hơi__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Vít Tải và Gầu Tải__Băng Tải Cao Su__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp__Quạt Công Nghiệp",www.anvanphuc.vn,'0908473640__0973844526',Ông Bùi Mạnh Thắng,,male,,congtyanvanphuc@gmail.com,https://www.yellowpages.vn/lgs/1187849883/cong-ty-tnhh-co-khi-an-van-phuc.html
Cơ Khí HTK Vina - Công Ty TNHH HTK Vina,"KCN Quế Võ mở rộng, X. Phương Liễu, H. Quế Võ,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Chế Tạo Máy__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Xe Đẩy Hàng, Xe Kéo Hàng",www.cokhihtkvina.bizz.vn,'0969751346__0978806028',Ms. Đỗ Thị Thắm,,female,Kinh doanh,htkvina1@gmail.com,https://www.yellowpages.vn/lgs/1187815854/co-khi-htk-vina-cong-ty-tnhh-htk-vina.html
Cơ Khí Quang Khôi - Công Ty TNHH Thương Mại Kỹ Thuật Quang Khôi,"Số 58, Phố Tân Áp, P. Phúc Xá, Q. Ba Đình, ","Cơ Khí -  Gia Công và Chế Tạo__Mạ Nhôm, Xi Mạ Nhôm__Bồn Bể Nhựa (Nhựa PP, PE, PVC,..) - Dịch Vụ Hàn, Chế Tạo Và Gia Công__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Mạ Crôm, Mạ Crôm Cứng__Mạ Kẽm Nhúng Nóng, Nhúng Kẽm__Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken",www.makimloaitot.com,'0362059158',Mr. Thắng,,male,,ximaquangkhoi@gmail.com,https://www.yellowpages.vn/lgs/1187828847/co-khi-quang-khoi-cong-ty-tnhh-thuong-mai-ky-thuat-quang-khoi.html
