company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cơ Khí Tài Nguyên - Công Ty TNHH Một Thành Viên Cơ Khí Tài Nguyên,"Số 200 Gò Dầu, P. Tân Quý, Q. Tân Phú,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.metalprocess.net__www.cokhitainguyen.com.vn,'0917993419',Ms. Tuyền,,female,Nhân viên kinh doanh,sales@cokhitainguyen.com.vn,https://www.yellowpages.vn/lgs/1187920410/co-khi-tai-nguyen-cong-ty-tnhh-mot-thanh-vien-co-khi-tai-nguyen.html
Cơ Khí Nam Minh - Công Ty TNHH TM DV Cơ Khí Nam Minh,"Ấp Tân Hội, X. Phước Hội, H. Đất Đỏ,","Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.namminhmechanical.com,'0969803480',Trương Thanh Mín,,,Phó giám đốc,NamMinh.MG@gmail.com,https://www.yellowpages.vn/lgs/1187909424/co-khi-nam-minh-cong-ty-tnhh-tm-dv-co-khi-nam-minh.html
Kệ Chứa Hàng Newtek - Công Ty Cổ Phần Newtek Việt Nam,"Số 1, Ngách 260/59, Cầu Giấy, P. Quan Hoa, Q. Cầu Giấy,","Văn Phòng Phẩm - Công Ty Văn Phòng Phẩm__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Kệ Trung Tải__Kệ Sàn, Kệ Sàn Thép__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",,'0904118744__02437815061',Mrs. Phan Thị Ngà,,,,nga.pt@newtek.com.vn,https://www.yellowpages.vn/lgs/1187738841/ke-chua-hang-newtek-cong-ty-co-phan-newtek-viet-nam.html
Nội Thất Inox Việt Thắng - Công Ty TNHH Cơ Khí Nội Thất Việt Thắng,"42 Đào Sư Tích, P. Bình An, TX. Dĩ An,","Kệ Inox, Giá Inox__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Inox - Sản Xuất Và Gia Công Inox__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Bàn Ghế Inox, Nội Thất Inox",www.vietthang.pro.vn,'0902485788',Bà Hà Thị Yến,,female,,hiennguyenviet@gmail.com,https://www.yellowpages.vn/lgs/1187809539/noi-that-inox-viet-thang-cong-ty-tnhh-co-khi-noi-that-viet-thang.html
Cơ Khí Hoàng Đức - Công Ty TNHH Sản Xuất Cơ Khí Xây Dựng Hoàng Đức,"48 Bùi Công Trừng, Ấp 3, X. Nhị Bình, H. Hóc Môn,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Cửa Sắt, Cổng Sắt__Sắt Mỹ Thuật, Sắt Mỹ Nghệ (Cổng, Cửa, Bàn Ghế, Sắt Uốn Mỹ Thuật)__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.cokhihoangduc.com__www.satmythuathd.vn,'0937363386__0963096579__02837121279',Ông Trần Văn Lục,,male,Giám đốc,lamcuasatdep@gmail.com,https://www.yellowpages.vn/lgs/1187870913/co-khi-hoang-duc-cong-ty-tnhh-san-xuat-co-khi-xay-dung-hoang-duc.html
Cơ Khí Nội Thất An Gia - Công Ty Cơ Khí Nội Thất An Gia,"Nha Tư, Lại Yên, Sơn Đồng, Hoài Đức,","Cửa Sắt, Cổng Sắt__Bàn Ghế - Bàn Ghế Nội Thất__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.cokhiangia.com,'0972677404',Mr. Nguyễn Trung Tuấn,,male,,trungtuanhbp@gmail.com,https://www.yellowpages.vn/lgs/1187855622/co-khi-noi-that-an-gia-cong-ty-co-khi-noi-that-an-gia.html
Cơ Sở Sắt - Inox - Nhôm Kính Thiên Phú,"2/19, KP. Bình Phước B, P.  Bình Chuẩn, TX. Bình An,","Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Nhôm Kính -  Công Ty Sản Xuất và Kinh Doanh Nhôm Kính__Inox - Sản Xuất Và Gia Công Inox__Cổng Inox, Cổng Xếp Inox__Inox Gia Dụng - Đồ Gia Dụng Bằng Inox__Cầu Thang, Lan Can Inox",www.inoxthienphu.bizz.vn,'0938520199',Hotline,X,,,inoxthienphu738@gmail.com,https://www.yellowpages.vn/lgs/1187821521/co-so-sat-inox-nhom-kinh-thien-phu.html
Giá Kệ Việt Thắng - Công Ty TNHH Cơ Khí Công Nghiệp Việt Thắng,"99C KP. Đông Ba, P. Bình Hòa, TX. Thuận An,","Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Kệ Pallet__Kệ Trung Tải__Pallet - Nhà Sản Xuất và Cung Cấp Pallet__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",,'02746515777__0907282799',Ms. Hồ Thị Kim Ngân,,female,Quản Lý,contact@cokhivietthang.vn,https://www.yellowpages.vn/lgs/1187825478/gia-ke-viet-thang-cong-ty-tnhh-co-khi-cong-nghiep-viet-thang.html
Cơ Khí Nguyễn Mẫn - Công Ty TNHH TM Cơ Khí Nguyễn Mẫn,"Ấp Đồng Sặc, Xã Bình Mỹ, Bắc Tân Uyên,","Sơn Tĩnh Điện__Cắt Laser, Cắt Khắc Laser__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Sơn Tĩnh Điện - Dịch Vụ Sơn Tĩnh Điện Kim Loại__Inox - Sản Xuất Và Gia Công Inox__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Kệ Sách, Kệ Hồ Sơ",www.nguyenman.com.vn,'02743626970__0983803731',Ms. Khoa,,female,Nhân viên Sales,zoe.nguyenman@gmail.com,https://www.yellowpages.vn/lgs/1187829204/co-khi-nguyen-man-cong-ty-tnhh-tm-co-khi-nguyen-man.html
Nội Thất Tân Hợp Tiến - Công Ty TNHH SX-TM Tân Hợp Tiến,"Km 1934, QL 1A, TT. Bến Lức, H. Bến Lức,","Bàn Ghế Nhựa Giả Mây, Nhựa Giả Mây (chậu hoa, xích đu, giỏ,.)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)",www.banghegiamayla.com/,'0911105115__0382918392',Anh Hiền,,,Giám đốc,nguyenthaihienla@gmail.com,https://www.yellowpages.vn/lgs/1187829903/noi-that-tan-hop-tien-cong-ty-tnhh-sx-tm-tan-hop-tien.html
