company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Chi Nhánh Công Ty TNHH Thiết Bị Phụ Tùng Hòa Phát Tại Đà Nẵng,"171 Trường Chinh, P. An Khê, Q. Thanh Khê,","Đá - Thiết Bị Khai Thác & Gia Công Đá__Mỏ - Máy Móc và Thiết Bị__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Giàn Giáo Xây Dựng Và Phụ Kiện",www.hoaphatthietbi.com,'0905149066__02363842396',Mr. Nguyễn Khánh Toàn,,male,,thietbihpdn@hoaphat.com.vn,https://www.yellowpages.vn/lgs/1287948/chi-nhanh-cong-ty-tnhh-thiet-bi-phu-tung-hoa-phat-tai-da-nang.html
Chi Nhánh Công Ty CP Sản Xuất Và Thương Mại Việt Phát,"382/57 Quang Trung, P. 10, Q. Gò Vấp,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Giàn Giáo Xây Dựng Và Phụ Kiện",www.vanthangsumo.com__www.bestvietphat.com.vn,'0949848026__0949846531__02839212988',Ông Nguyễn Văn Xuân,,male,,linhvanthangsumo@gmail.com,https://www.yellowpages.vn/lgs/1187685813/chi-nhanh-cong-ty-cp-san-xuat-va-thuong-mai-viet-phat.html
Thiết Bị Xây Dựng Huy Độ - Công Ty TNHH Huy Độ,"818 Đường Láng, P. Láng Thượng, Q. Đống Đa,","Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..__Bê Tông - Máy Móc và Thiết Bị__Trạm Trộn Bê Tông & Thiết Bị Phụ Trợ__Bơm Bê Tông__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Máy Trộn Bê Tông",www.thietbihuydo.com,'02438353364__0913213051',Ông Nguyễn Huy Độ,,male,,ctyhuydo@gmail.com,https://www.yellowpages.vn/lgs/1294776/thiet-bi-xay-dung-huy-do-cong-ty-tnhh-huy-do.html
Công Ty Cổ Phần Thương Mại Xây Dựng Hưng Phước,"95/2/49 Bình Lợi, P. 13, Q. Bình Lợi,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp",www.mayxaydunghungphuoc.com,'0942602281__0931811877',Mr. Phong,,male,Nhân Viên,hungphuoc569@gmail.com,https://www.yellowpages.vn/lgs/1187752134/cong-ty-co-phan-thuong-mai-xay-dung-hung-phuoc.html
Công Ty CP Dịch Vụ Và Đầu Tư Minh Giang,"Số 3/19 Hoàng Ngọc Phách, P. Láng Hạ, Q. Đống Đa,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Bê Tông - Máy Móc và Thiết Bị__Thiết Bị Nâng Hạ__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.vme.vn,'0983062368__0912100600',Đỗ Phi Hiệp,,,,dophihiep@cauthap.vn,https://www.yellowpages.vn/lgs/1299582/cong-ty-cp-dich-vu-va-dau-tu-minh-giang.html
Cẩu Tháp Anh Sơn - Công Ty Cổ Phần Thiết Bị Công Nghiệp Và Thương Mại Anh Sơn,"Số nhà 230, Tổ 3, Thị trấn Kim Bài, Huyện Thanh Oai,","Thiết Bị Nâng Hạ__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp",www.cauthapanhson.bizz.vn__www.cauthapanhson.com,'0941439399__0972023333__02422682555',Ông Bùi Thế Át,,male,,vienthong95@gmail.com,https://www.yellowpages.vn/lgs/1187782470/cau-thap-anh-son-cong-ty-co-phan-thiet-bi-cong-nghiep-va-thuong-mai-anh-son.html
Máy Xây Dựng á Châu - Công Ty Cổ Phần Máy Xây Dựng á Châu,"SN 12, Ngách 33/30, Ngõ 33, Đường Phúc Thành, P. BIên Giang, Q. Hà Đông,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..",www.asiacoma.com,'0934442866__0866606670',Mr. Phạm Văn Bắc,,male,,asiacoma.jsc@gmail.com,https://www.yellowpages.vn/lgs/1187843496/may-xay-dung-a-chau-cong-ty-co-phan-may-xay-dung-a-chau.html
Công Ty TNHH TM Và Xây Dựng Hoàng Hải Star,"Số 11, Ngõ 5 Lê Trọng Tấn, P. La Khê, Q. Hà Đông,","Xe Nâng, Xe Cẩu - Cho Thuê Xe Nâng, Xe Cẩu__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Cho Thuê Máy Xây Dựng Và Thiết Bị Xây Dựng",,'0914613693__02462602916',Mr. Trần Quang Hòa,,male,,hoanghaistar99@gmail.com,https://www.yellowpages.vn/lgs/1187887449/cong-ty-tnhh-tm-va-xay-dung-hoang-hai-star.html
"Shandong Katop Group Co.,Ltd","Bonded Zone, Industry Park, Shandong Province","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Máy Xúc, Máy Đào, Máy ủi__Xe Công Trình, Máy Công Trình__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.katopgroup.com,'0903711938__0987133690',Mr. Liêu Tô,,male,,lixingjianvtp@gmail.com,"https://www.yellowpages.vn/lgs/1187819901/shandong-katop-group-co.,ltd.html"
Cẩu Tháp Hưng An - Công Ty TNHH MTV Thương Mại Dịch Vụ Xây Dựng Hưng An,"299/2 Đào Trí, Khu Phố 3, P. Phú Thuận, Q. 7,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Cho Thuê Máy Xây Dựng Và Thiết Bị Xây Dựng__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.hungan.bizz.vn,'02837851698__0902701388__0906651898',Hotline 1,,,Kinh Doanh,mtvxdhungan@gmail.com,https://www.yellowpages.vn/lgs/1187701086/cau-thap-hung-an-cong-ty-tnhh-mtv-thuong-mai-dich-vu-xay-dung-hung-an.html
