company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiên Minh - Công Ty TNHH Sản Xuất Thương Mại Và Xây Dựng Thiên Minh,"75A đường số 17, P. Hiệp Bình Chánh, Q. Thủ Đức,","Đèn LED__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.thienminhgroup.com,'02835926885__0913777548__0914239977',Ông Trần Minh Việt,,male,Phó Giám Đốc,thienminh052@yahoo.com,https://www.yellowpages.vn/lgs/986421/thien-minh-cong-ty-tnhh-san-xuat-thuong-mai-va-xay-dung-thien-minh.html
Đèn Quốc Cường Việt - Công Ty TNHH Điện Quốc Cường Việt,"1-3-5 Song Hành, P. 10, Q. 6,","Đèn LED__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Máng Đèn và Chóa Đèn__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Đèn Led Công Nghiệp, Đèn Led Nhà Xưởng__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.fulllight.com.vn,'0933334031__02837508729',Bà Huỳnh Thị Thanh Xuân,,female,P. Giám Đốc,lightingquoc2004@yahoo.com,https://www.yellowpages.vn/lgs/1011702/den-quoc-cuong-viet-cong-ty-tnhh-dien-quoc-cuong-viet.html
Công Ty TNHH MTV Chiếu Sáng Và Thiết Bị Đô Thị,"Số 1, Đường Vũ Đức Thận, P. Việt Hưng, Q. Long Biên,","Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng",www.hapulico.com,'02438253300',Văn Phòng,,,,info@hapulico.com.vn,https://www.yellowpages.vn/lgs/729246/cong-ty-tnhh-mtv-chieu-sang-va-thiet-bi-do-thi.html
Đèn AMACCAO - Công Ty Cổ phần AMACCAO,"Tầng 4, Tòa nhà Vườn Đào, Ngõ 689 Lạc Long Quân, Tây Hồ,","Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Đèn LED",www.betongamaccao.bizz.vn,'0989148348__0924011047',Ông Nguyễn Quang Tuyến,,male,Giám đốc kinh doanh,quangtuyen.amaccao@gmail.com,https://www.yellowpages.vn/lgs/1187906925/den-amaccao-cong-ty-co-phan-amaccao.html
Thiết Bị Chiếu Sáng Phan Nguyễn - Công Ty TNHH Điện Và Cơ Khí Phan Nguyễn,"P202 - CT1A Tòa nhà Hà Nội Homeland, đường Nguyễn Văn Cừ, quận Long Biên,","Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng",www.chieusangngoaitroi.com,'0904216969__02438738585',Mr. Nguyễn Văn Diện,,male,,nguyenvandienhp@gmail.com,https://www.yellowpages.vn/lgs/1187858007/thiet-bi-chieu-sang-phan-nguyen-cong-ty-tnhh-dien-va-co-khi-phan-nguyen.html
Công Ty Cổ Phần Đầu Tư Xây Dựng Toàn Phát,"Lô 49A, Khu Công Nghiệp Quang Minh, TT. Chi Đông, Mê Linh,","Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Mạ Kẽm Nhúng Nóng, Nhúng Kẽm",www.cotdentoanphat.vn,'0976599858__02435860671',Mr. Lê Thế Nam,,male,TP. Kinh doanh,nam@bulong.vn,https://www.yellowpages.vn/lgs/1187836644/cong-ty-co-phan-dau-tu-xay-dung-toan-phat.html
Gang Đúc Mỹ Phong - Công Ty TNHH Sản Xuất Thương Mại Mỹ Phong,"Thôn 2, X. Mỹ Đồng, H. Thủy Nguyên,","Gang Đúc - Sản Xuất Bàn Ghế, Trụ Đèn, Chi Tiết Gang,.__Song Chắn Rác, Nắp Hố Ga, Nắp Bể Cáp__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.trudengangchieusang.com,'0909018868__0988047777',Nguyễn Đức Duy,,,,myphong.co.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187855847/gang-duc-my-phong-cong-ty-tnhh-san-xuat-thuong-mai-my-phong.html
Trụ Đèn Thái Hưng Thịnh - Công Ty Cổ Phần Thái Hưng Thịnh,"Số 6 Đường 147, Khu Phố 3, P. Phước Long B, Q. 9,","Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Hộ Lan Tôn Lượn Sóng, Lan Can Cầu Đường__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng",www.thaihungthinh.com.vn,'0853175510',Hotline,X,,,info@thaihungthinh.com.vn,https://www.yellowpages.vn/lgs/958800/tru-den-thai-hung-thinh-cong-ty-co-phan-thai-hung-thinh.html
Thiết Bị Chiếu Sáng Led Litec - Công Ty CP Công Nghiệp Hapulico,"Tầng 18 Center Building (HAPULICO Complex), Ngụy Như Kon Tum, P. Thanh Xuân Trung, Q. Thanh Xuân,","Đèn LED__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.litec.com.vn,'02462759696__02862759696__0988999345',Mr. Sơn,,male,,leanhsonlitec@gmail.com,https://www.yellowpages.vn/lgs/1187693382/thiet-bi-chieu-sang-led-litec-cong-ty-cp-cong-nghiep-hapulico.html
Công Ty Cổ Phần Sản Xuất Trụ Đèn Chiếu Sáng Đô Thị Số 1,"515 Quốc Lộ 1A, An Phú Đông, Q. 12,","Đèn LED__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Đèn Năng Lượng Mặt Trời__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.chieusangdothiso1.com,'0936211164__02862765067__02866500523',Mr. Uyên,,male,Giám Đốc,chieusangcongcong@gmail.com,https://www.yellowpages.vn/lgs/1187842635/cong-ty-co-phan-san-xuat-tru-den-chieu-sang-do-thi-so-1.html
