company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Dụng Cụ Cắt Gọt Tâm Đăng - Công Ty TNHH Thương Mại Dịch Vụ Xuất Nhập Khẩu Tâm Đăng,"Ô 98 DC36, KP. 4, P. An Phú, Thuận An,","Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Dụng Cụ Cơ Khí__Khuôn Mẫu",www.tamdangbinhduong.com,'0335315548',Mr. Trần Văn Quyền,,male,Giám Đốc Kinh Doanh,huyendang2001@gmail.com,https://www.yellowpages.vn/lgs/1187933154/dung-cu-cat-got-tam-dang-cong-ty-tnhh-thuong-mai-dich-vu-xuat-nhap-khau-tam-dang.html
Dụng Cụ Cắt Gọt ADOBUS - Công Ty TNHH ADOBUS,"223/28/3 Đường số 8, Phường 17, Quận Vò Gấp,","Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Dụng Cụ Cơ Khí__Dụng Cụ Điện Cầm Tay__Lưỡi Cưa - Nhà Sản Xuất Và Cung Cấp",www.daocokhi.bizz.vn__www.adobus.com.vn,'02835893418__0909814386__0902388486',Hotline,X,,,kd.quoctehuunghi@gmail.com,https://www.yellowpages.vn/lgs/1187759916/dung-cu-cat-got-adobus-cong-ty-tnhh-adobus.html
Công Ty TNHH Mea Engineering Hà Nội,"Tầng 6, Tòa Nhà Việt Á, Số 9, Phố Duy Tân, P. Dịch Vọng Hậu, Q. Cầu Giấy,","Dụng Cụ Cơ Khí__Thiết Bị Đo Cơ Khí, Dụng Cụ Đo Cơ Khí (Thước, Đồng Hồ,.)",www.mea.bizz.vn,'0983560880',Ms. Hương Ly,,female,,huongly.mea@gmail.com,https://www.yellowpages.vn/lgs/1187821119/cong-ty-tnhh-mea-engineering-ha-noi.html
Công Ty TNHH SX TM DV Việt Đỉnh Phát,"51A/99, KP.10, P. Hố Nai, TP. Biên Hòa,","Máy Hàn MIG__Dụng Cụ Cơ Khí__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Dụng Cụ Cầm Tay__Dụng Cụ Cơ Khí Cầm Tay (Cờ Lê, Mỏ Lết, Tô Vít,.)__Hàn - Vật Tư Hàn__Máy Hàn TiG__Dụng Cụ Điện Cầm Tay__Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)",www.thietbicongnghiepdongnai.vn__www.sieuthithietbicongnghiep.vn,'0978032326__02513882498',Ông Lê Văn Thỏa,,male,,thoabk1@gmail.com,https://www.yellowpages.vn/lgs/1187830269/cong-ty-tnhh-sx-tm-dv-viet-dinh-phat.html
Công Ty Cổ Phần Dụng Cụ Số 1,": Số 108 Nguyễn Trãi, Q. Thanh Xuân,","Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Xử Lý Nhiệt - Gia Công Xử Lý Nhiệt (Chân Không, Tôi Cứng, Thấm Carbon,.)__Dụng Cụ Cơ Khí",www.dungcucat.com.vn__www.xửlýnhiệt-bềmặt.vn,'0983818711__02438583074',Mr. Nguyễn Hạnh Nguyễn,,male,TP kinh doanh,info@dungcucat.com.vn,https://www.yellowpages.vn/lgs/720969/cong-ty-co-phan-dung-cu-so-1.html
Dụng Cụ Cắt Gọt Halcyon - Công Ty TNHH Halcyon Technology Việt Nam,"Tầng 1, Nhà Xưởng Số 3, Trung Tâm Ứng Dụng Công Nghệ Sản Xuất,  TT. Quang Minh, H. Mê Linh,","Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Dụng Cụ Cơ Khí",www.halcyonvn.com,'0914953188__0901317598__02432008520',Kinh doanh Hà Nội,,,,nam.lehoai@halcyonvn.com,https://www.yellowpages.vn/lgs/1187837976/dung-cu-cat-got-halcyon-cong-ty-tnhh-halcyon-technology-viet-nam.html
Công Ty TNHH Thương Mại Và Dịch Vụ Kỹ Thuật Hải Vân Nam,"39A Đường 30/4, P. 9, TP. Vũng Tàu,","Thép - Công Ty Thép (Sản Xuất, Kinh Doanh Và Phân Phối)__Dụng Cụ Cơ Khí__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Hóa Chất Tẩy Rửa Công Nghiệp (Cáu Cặn, Rỉ Sét, Rong Rêu,.)__Dầu Khí - Vật Tư Và Thiết Bị Dầu Khí__Bảo Hộ Lao Động",www.haivannam.vn__www.haivannam.bizz.vn,'02543597501__0918653421__0902641629',Ông Nguyễn Chí Nam,,male,Giám Đốc,nguyenchinam.nam@gmail.com,https://www.yellowpages.vn/lgs/1187694855/cong-ty-tnhh-thuong-mai-va-dich-vu-ky-thuat-hai-van-nam.html
Dụng Cụ Cắt Gọt Tân Việt  - Công Ty TNHH Kỹ Thuật Tân Việt,"Phòng 602,Tháp B, Tòa Nhà CT2 - The Light, Đường Tố hữu, Phường Trung Văn, Quận Nam Từ Liêm,","Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Dụng Cụ Cơ Khí__Đá Mài, Đá Cắt",www.tanvietcnc.com,'02435590309__0983688329',Mr. Lê Thanh Tân,,male,,tanviet2000@gmail.com,https://www.yellowpages.vn/lgs/1187741901/dung-cu-cat-got-tan-viet--cong-ty-tnhh-ky-thuat-tan-viet.html
Công ty TNHH Thái Sơn Quân,"78/6 Đô Lương, Phường 11, Thành Phố Vũng Tàu,",Hàng Hải - Thiết Bị Hàng Hải__Dụng Cụ Cơ Khí__Giàn Giáo Xây Dựng Và Phụ Kiện__Dầu Khí - Vật Tư Và Thiết Bị Dầu Khí__Van Công Nghiệp,www.thaisonquan.com,'02543624359__0901762579',Đào Thị Thu Hằng,,,,sales@thaisonquan.com,https://www.yellowpages.vn/lgs/1187841801/cong-ty-tnhh-thai-son-quan.html
Linh Kiện Khuôn Mẫu Ngũ Kim Đỉnh Vàng - Công Ty TNHH MTV Ngũ Kim Đỉnh Vàng,"Số 51C/1 KP1A, P. An Phú, TP. Thuận An,","Dụng Cụ Cơ Khí__Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Khuôn Mẫu - Linh Phụ Kiện Khuôn Mẫu__Mài Mòn - Vật Liệu Mài Mòn",www.ngukimdinhvang.com,'0966621123__0971742803__02743802137',Ms. Thanh Thủy,,female,,ngukimdinhvang@gmail.com,https://www.yellowpages.vn/lgs/1187887614/linh-kien-khuon-mau-ngu-kim-dinh-vang-cong-ty-tnhh-mtv-ngu-kim-dinh-vang.html
