company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Gia Công Kim Loại Tấm SEIKI Việt Nam - Công Ty TNHH Cơ Khí SEIKI Việt Nam,"Đường D2, KCN Đại Đồng - Hoàn Sơn, Tiên Du,","Cắt Laser, Cắt Khắc Laser__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Cắt Gọt CNC - Dịch Vụ Cắt Gọt CNC (Plasma, Oxy - Gas,.)",www.seiki.vn__www.fact-link.com.vn,'0981583288',Mr. Đặng Trần Khanh,,male,Giám Đốc,ceo@seiki.vn,https://www.yellowpages.vn/lgs/1187920362/gia-cong-kim-loai-tam-seiki-viet-nam-cong-ty-tnhh-co-khi-seiki-viet-nam.html
Khuôn Dập ALUGOS - Công Ty TNHH ALUGOS,"Số 20 Khu Phố 1A, Phường An Phú, Thị Xã Thuận An,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Khuôn Dập (Dập Nóng, Lạnh, Vuốt, Liên Hoàn)",www.alugos.com,'0909902715__0938182195',Hotline,X,,,alugosvn@gmail.com,https://www.yellowpages.vn/lgs/1187926701/khuon-dap-alugos-cong-ty-tnhh-alugos.html
Cơ Khí SANKOU GIKEN - Công Ty TNHH SANKOU GIKEN Việt Nam,"Số 10 VSIP II-A, Đường số 12, KCN VSIP II-A, KCN Việt Nam - Singapore, Phường Vĩnh Tân, Thị Xã Tân Uyên,","Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.sankougikenvn.com,'0835345345__02743801088',Mr. Trần Đình Hiển,,male,Giám Đốc Điều Hành,hien.t.sankougiken@gmail.com,https://www.yellowpages.vn/lgs/1187896032/co-khi-sankou-giken-cong-ty-tnhh-sankou-giken-viet-nam.html
Gia Công Kim Loại Tấm Thành Danh Đạt - Công Ty TNHH MTV TM DV Thành Danh Đạt,"Số 31A/3 KP 2, P. An Phú, TX Thuận An, Bình Dương.","Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cắt Laser, Cắt Khắc Laser__Cơ Khí -  Gia Công và Chế Tạo",www.thanhdanhdat.com__www.cncinox.com,'02743764715__0908299086',Mr. Tuấn Anh,,male,,tuananh682011@gmail.com,https://www.yellowpages.vn/lgs/1187880675/gia-cong-kim-loai-tam-thanh-danh-dat-cong-ty-tnhh-mtv-tm-dv-thanh-danh-dat.html
Cơ Khí Nghĩa Dũng - Công Ty TNHH Cơ Khí Nghĩa Dũng,"Phòng 4, Nhà A1, Tập Thể Công Ty Kinh Doanh Vật Tư Và Xây Dựng, Phường Trung Tự, Quận Đống Đa,","Cơ Khí -  Gia Công và Chế Tạo__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Bảng Điện__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Chế Tạo Máy",www.cokhinghiadung.com,'0913593353__0977593353',Mr. Tự,,male,Giám Đốc,cokhinghiadung@gmail.com,https://www.yellowpages.vn/lgs/1187899839/co-khi-nghia-dung-cong-ty-tnhh-co-khi-nghia-dung.html
Cơ Khí Vương Tùng - Công Ty TNHH Vương Tùng,"Ô 5, Lô E, Tổ 12, KP. 4, P. An Phú, TX. Thuận An,","Cắt Laser, Cắt Khắc Laser__Thùng Rác Inox__Inox - Sản Xuất Và Gia Công Inox__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cửa Inox, Cửa Xếp Inox__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.kimloaitam.com__www.inoxvuongtung.com,'0932716686',Ms. Mai,,female,,inoxvuongtung@gmail.com,https://www.yellowpages.vn/lgs/1187807703/co-khi-vuong-tung-cong-ty-tnhh-vuong-tung.html
Cơ Khí Nhật Nam - Công Ty TNHH Cơ Khí Nhật Nam," Số 36, Khu Garland, Phước Điền, 72 Dương Đình Hội, P. Phước Long B, Q. 9,","Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Cắt Laser, Cắt Khắc Laser__Sơn Tĩnh Điện - Dịch Vụ Sơn Tĩnh Điện Kim Loại__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)",www.nn-mechanical.vn__www.cokhinhatnam.vn,'02862828133__0938771508',Mr. Trần Quý,,male,,tranquy@cokhinhatnam.vn,https://www.yellowpages.vn/lgs/1187893173/co-khi-nhat-nam-cong-ty-tnhh-co-khi-nhat-nam.html
Cơ Khí Chính Xác Kỹ Thuật Laser - Công Ty CP Kỹ Thuật Laser,": 220/17 Hồ Văn Huê, Phường 09. Quận Phú Nhuận","Cơ Khí -  Gia Công và Chế Tạo__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Robot Hàn, Máy Hàn Tự Động__Cắt Gọt CNC - Dịch Vụ Cắt Gọt CNC (Plasma, Oxy - Gas,.)",www.lasertech-vn.com,'02743739264__0906079072',Hotline,X,,,h-chuong@lasertech-vn.com,https://www.yellowpages.vn/lgs/1187821785/co-khi-chinh-xac-ky-thuat-laser-cong-ty-cp-ky-thuat-laser.html
Inox Kim Lợi - Công Ty TNHH Sản Xuất Và Phát Triển Thương Mại Kim Lợi,"Đường 422, Cụm 13, X. Tân Lập, H. Đan Phượng,","Thiết Bị Bếp Nhà Hàng, Khách Sạn, Quầy Bar - Nhập Khẩu Và Phân Phối__Cắt Laser, Cắt Khắc Laser__Kệ Inox, Giá Inox__Inox - Sản Xuất Và Gia Công Inox__Bếp Công Nghiệp Inox, Thiết Bị Bếp Công Nghiệp - Sản Xuất Và Lắp Đặt__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Tủ Inox (Tủ Bếp Inox, Tủ Đựng Thức Ăn Inox)__Bàn Ghế Inox, Nội Thất Inox__Cắt Gọt CNC - Dịch Vụ Cắt Gọt CNC (Plasma, Oxy - Gas,.)",www.kimloi.ticc.vn__www.inoxkimloi.com.vn,'0936080963',Ông Nguyễn Tiến Tùng,,male,,inoxkimloi68@gmail.com,https://www.yellowpages.vn/lgs/1187824086/inox-kim-loi-cong-ty-tnhh-san-xuat-va-phat-trien-thuong-mai-kim-loi.html
Cơ Khí Nhất Tâm - Công Ty TNHH Kim Loại Nhất Tâm,"Thửa Đất Số 1094, Bản Đồ Số 6, KP. Chiêu Liêu, P. Tân Đông Hiệp, TX Dĩ An,","Cắt Laser, Cắt Khắc Laser__Inox - Sản Xuất Và Gia Công Inox__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.nhattammetal.com,'0937736985__02743800368',Ông Trần Anh Bình,,male,Nhân viên,infonhattam@gmail.com,https://www.yellowpages.vn/lgs/1187790564/co-khi-nhat-tam-cong-ty-tnhh-kim-loai-nhat-tam.html
