company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Xây Dựng Bắc Thăng Long - Công Ty Cổ Phần Thương Mại Và Đầu Tư Xây Dựng Bắc Thăng Long,"KCN Bắc Thăng Long, Võng La, Đông Anh,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Máy Chà Nhám__Băng Nhám Dính, Xé, Velcro__Bàn Chải Công Nghiệp, Bánh Cước",www.bacthanglong.com.vn,'0989327070__0983191486__02439533225',Hotline,X,,,sales@bacthanglong.com.vn,https://www.yellowpages.vn/lgs/1187695155/xay-dung-bac-thang-long-cong-ty-co-phan-thuong-mai-va-dau-tu-xay-dung-bac-thang-long.html
Giấy Ráp Việt Hàn - Công Ty Cổ Phần Giấy Ráp Việt Hàn," Ninh Sở, Thường Tín, ","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.viethangroupvn.com.vn,'0988257766__0986754242',Ông Nguyễn Văn Bình,,male,Giám Đốc,vikoviethan@gmail.com,https://www.yellowpages.vn/lgs/1187694873/giay-rap-viet-han-cong-ty-co-phan-giay-rap-viet-han.html
Vật Liệu Mài Mòn A&G Quốc Tế - Công Ty Cổ Phần Công Nghiệp A&G Quốc Tế,"Số 9, Ngách 2, Ngõ 38 Phố Quang Trung, Q. Hà Đông,","Đá Mài, Đá Cắt__Bảo Hộ Lao Động__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.vattusanxuat.com,'0901355666__02462957957__0901899666',Mr. Quyết,,male,Quản lý,info@vattusanxuat.com,https://www.yellowpages.vn/lgs/1187755212/vat-lieu-mai-mon-a-g-quoc-te-cong-ty-co-phan-cong-nghiep-a-g-quoc-te.html
Vải Nhám Hồ Phát - Công Ty TNHH Thương Mại Dịch Vụ Vải Nhám Hồ Phát,"1164A Nguyễn Văn Quá, P. Tân Thới Hiệp, Q. 12,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Keo 502 - Sản Xuất Và Cung Cấp__Keo AB__Keo Dán và Chất Dính",www.vainhamhophat.bizz.vn__www.hophat.com,'0908334598__02837153421',Hotline,X,,,hophat2008@yahoo.com,https://www.yellowpages.vn/lgs/119317824/vai-nham-ho-phat-cong-ty-tnhh-thuong-mai-dich-vu-vai-nham-ho-phat.html
Giấy Nhám Vải Nhám ABA WELLGROW VIỆT NAM - Công Ty TNHH WELLGROW VIỆT NAM,"Số 28, Đường 22, P. Linh Đông, Q. Thủ Đức,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.abawellgrow.com.vn__www.siaboschvietnam.bizz.vn,'0909490511__02873008795',Mr. Nguyễn Văn Duy,,male,,duy.nguyenvan@abawellgrow.com.vn,https://www.yellowpages.vn/lgs/1187857185/giay-nham-vai-nham-aba-wellgrow-viet-nam-cong-ty-tnhh-wellgrow-viet-nam.html
Vật Liệu Mài Mòn Khải Hoàn - Công Ty TNHH Sản Xuất Thương Mại Khải Hoàn,"1507B, Tòa Rivera Park, Số 173 Xuân Thủy, P. Dịch Vọng Hậu, Q. Cầu Giấy,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.khaihoanmt.com.vn,'0934656657__0913221139',Tư vấn hỗ trợ,,,,info@khaihoanmt.com.vn,https://www.yellowpages.vn/lgs/1187826102/vat-lieu-mai-mon-khai-hoan-cong-ty-tnhh-san-xuat-thuong-mai-khai-hoan.html
Giấy Nhám Vũ Hà - Công Ty Cổ Phần Thương Mại Và Xuất Nhập Khẩu Vũ Hà,"Thôn 1A, X. Đông Mỹ, H. Thanh Trì,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Hóa Chất Xây Dựng__Keo 502 - Sản Xuất Và Cung Cấp__Băng Keo, Băng Dính__Bảo Hộ Lao Động__Dầu Nhớt Công Nghiệp, Dầu Nhờn Công Nghiệp",www.vuha1a.com,'0983153803__02436861445',Hotline,X,,,vuha.vn.vnn@gmail.com,https://www.yellowpages.vn/lgs/1187837754/giay-nham-vu-ha-cong-ty-co-phan-thuong-mai-va-xuat-nhap-khau-vu-ha.html
Giấy Nhám Khôi Vỹ - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Khôi Vỹ,"15 Đường Số 1, KDC Tân Đông Hiệp B, KP. Đông Thành, P. Tân Đông Hiệp, TX. Dĩ An,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__ốc, Vít, Bù Loong__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)",www.vainhamkhoivy.com__www.nhamxepgiare.com,'0933956039',Mr. Nguyễn Quốc Danh,,male,,congtykhoivy@gmail.com,https://www.yellowpages.vn/lgs/1187821023/giay-nham-khoi-vy-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-khoi-vy.html
Vật Liệu Mài Mòn Lộc Linh - Công Ty Cổ Phần Thương Mại Lộc Linh,"Km Số 3, Đường Phan Trọng Tuệ, X. Tam Hiệp, H. Thanh Trì,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Lơ, Nỉ, Sáp, Chổi Đánh Bóng, ..Vật Liệu Đánh Bóng__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Sơn - Máy, Thiết Bị và Dụng Cụ Sơn__Máy Mài",,'0988218848__02436472498__0915448838',Mr. Trần Đình Linh,,male,,linh0176@gmail.com,https://www.yellowpages.vn/lgs/1187825979/vat-lieu-mai-mon-loc-linh-cong-ty-co-phan-thuong-mai-loc-linh.html
Giấy Nhám Hồ Chí Minh  - Công Ty TNHH Dũng Tiến,"127 Xuân Hồng, P. 12, Q. Tân Bình,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Lơ, Nỉ, Sáp, Chổi Đánh Bóng, ..Vật Liệu Đánh Bóng__Keo 502 - Sản Xuất Và Cung Cấp__Dụng Cụ Cầm Tay__Keo Dán và Chất Dính",www.dungtienvn.com,'0382163093__02838116348',Mr. Bùi Văn Phát,,male,Marketing,phatbui@dungtienvn.com,https://www.yellowpages.vn/lgs/1187675082/giay-nham-ho-chi-minh--cong-ty-tnhh-dung-tien.html
