company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Kệ Chứa Hàng - Công Ty TNHH HTK Vina,"KCN Quế Võ mở rộng, X. Phương Liễu, H. Quế Võ,","Kệ Đa Năng__Cơ Khí -  Gia Công và Chế Tạo__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Kệ Trung Tải__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Chế Tạo Máy",www.cokhihtkvina.bizz.vn,'0969751346__0978806028',Ms. Đỗ Thị Thắm,,female,Kinh doanh,htkvina1@gmail.com,https://www.yellowpages.vn/lgs/1187917749/ke-chua-hang-cong-ty-tnhh-htk-vina.html
Kệ Vinatech - Công Ty Cổ Phần Tập Đoàn Vinatech Việt Nam,": Tam Hiệp, Phúc Thọ,","Máy Tính Tiền Điện Tử__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cổng Từ An Ninh__Máy Bán Hàng__Phần Mềm POS__Thiết Bị Siêu Thị__An Ninh, An Toàn - Hệ Thống Và Thiết Bị An Ninh, An Toàn__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",,'0867589999',Hotline,X,,,info@vinatechjsc.vn,https://www.yellowpages.vn/lgs/1187750826/ke-vinatech-cong-ty-co-phan-tap-doan-vinatech-viet-nam.html
PROSTEEL TECHNO Việt Nam - Công Ty TNHH PROSTEEL TECHNO Việt Nam,"Km 14 Đường Đại Lộ Thăng Long, X. Vân Côn, H. Hoài Đức,","Băng Tải Xích__Cơ Khí -  Gia Công và Chế Tạo__Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Băng Tải - Các Công Ty Băng Tải__Băng Tải Con Lăn__Băng Tải Cao Su__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Kệ Sàn, Kệ Sàn Thép__Băng Tải Nhựa - Băng tải PVC, PU, PE,..__Xe Đẩy Hàng, Xe Kéo Hàng",www.prosteel.vn,'02437835702__0915057229',Mr. Quỳnh,,male,,quynhnm@prosteel.vn,https://www.yellowpages.vn/lgs/1187701125/prosteel-techno-viet-nam-cong-ty-tnhh-prosteel-techno-viet-nam.html
Kệ Chứa Hàng Long Quyền - Công Ty TNHH Sản Xuất & Thương Mại Long Quyền,"79 Đào Tấn, P. Ngọc Khánh, Q. Ba Đình,","Thép V Lỗ Đa Năng__Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Nhà Xưởng, Nhà Công Nghiệp - Thi Công Nhà Xưởng, Nhà Công Nghiệp__Kệ Pallet__Kệ Trung Tải__Kệ Chứa Hàng Di Động__Kệ Sách, Kệ Hồ Sơ__Xe Đẩy Hàng, Xe Kéo Hàng",,'02437260098__0903422179',Hotline,X,,,contact@longquyen.com,https://www.yellowpages.vn/lgs/1187690055/ke-chua-hang-long-quyen-cong-ty-tnhh-san-xuat---thuong-mai-long-quyen.html
Công Ty Cổ Phần Thiết Bị Công Nghiệp Tín Đạt - Tín Đạt JSC,"Lầu 10, Số 137 Lê Quang Định, P. 14, Q. Bình Thạnh,","Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Pallet Sắt__Kệ Trung Tải__Pallet - Nhà Sản Xuất và Cung Cấp Pallet__Kệ Sàn, Kệ Sàn Thép__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.kechuahangtindat.com,'02822438880__0906926539__0903167063',Mr. Chánh,,male,,chanh@cptindat.com,https://www.yellowpages.vn/lgs/1002600/cong-ty-co-phan-thiet-bi-cong-nghiep-tin-dat-tin-dat-jsc.html
Kệ Chứa Hàng Cơ Khí Việt  - Công Ty TNHH Cơ Khí Việt,"Số 8, Đường Số 20, P. 11, Q. 6,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Xà Gồ Thép, Thép Hộp, Mạ Kẽm__Kệ Trung Tải__Kệ Sách, Kệ Hồ Sơ__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Kệ Sàn, Kệ Sàn Thép",www.cokhiviet.net,'0937999005__02862640010__0908809668',Hotline,X,,,sales.engineer@cokhiviet.com.vn,https://www.yellowpages.vn/lgs/3658611/ke-chua-hang-co-khi-viet--cong-ty-tnhh-co-khi-viet.html
Kệ Chứa Hàng Di Động - Công Ty TNHH Navavina,"1330/1D Đường Vườn Lài, KP. 1, P. An Phú Đông, Q. 12,","Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Pallet Sắt__Kệ Trung Tải__Inox - Sản Xuất Và Gia Công Inox__Kệ Sàn, Kệ Sàn Thép__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.navavina.com.vn__www.kechuahangdidong.com,'0919750305',Ông Châu Trần Thuyền,,male,,contact@navavina.com.vn,https://www.yellowpages.vn/lgs/1187699982/ke-chua-hang-di-dong-cong-ty-tnhh-navavina.html
Kệ Thuận Thuận Thành - Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Thuận Thuận Thành,"175 Trần Văn Kiểu, Phường 10, Quận 6, Tp. Hồ Chí Minh, ","Kệ Sách, Kệ Hồ Sơ__Thiết Bị Siêu Thị__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.saigonrack.com.vn,'02837553600__0903888282',Mr. Vũ,,male,,vunguyen@saigonrack.com.vn,https://www.yellowpages.vn/lgs/993363/ke-thuan-thuan-thanh-cong-ty-tnhh-thuong-mai-dich-vu-san-xuat-thuan-thuan-thanh.html
"Kệ Chứa Hàng, Kệ Kho Hàng TPPRack","174A/7, QL. 1A, X. An Phú Tây, H. Bình Chánh","Thép V Lỗ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Pallet Sắt__Kệ Chứa Hàng Di Động__Kệ Sàn, Kệ Sàn Thép__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.tpprack.com,'02837604870__0918223724',Ông Nguyễn Văn Chí,,male,,chi@tanphuongphat.com,https://www.yellowpages.vn/lgs/1187808729/ke-chua-hang-ke-kho-hang-tpprack.html
Giá Kệ Thanh Phúc - Công Ty TNHH Thanh Phúc,": Số 62B, Ngõ 40, Phố Do Nha, Tây Mỗ, Nam Từ Liêm,","Thép V Lỗ Đa Năng__Kệ Đa Năng__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Kệ Trung Tải__Kệ Sách, Kệ Hồ Sơ__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.kedehang.com,'02437618003__0912043543',Ông Trịnh Duy Thao,,male,Giám Đốc,thanhphuc520@gmail.com,https://www.yellowpages.vn/lgs/1187676837/gia-ke-thanh-phuc-cong-ty-tnhh-thanh-phuc.html
