company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Lò Xo Quang Minh - Công Ty TNHH Lò Xo Quang Minh,"Thôn Liễu, Xã Khánh Hà, Huyện Thường Tín,","Lò Xo, Lò Xo Công Nghiệp",www.loxocongnghiep.com,'0983560689',Hotline,X,,,loxoquangminh@gmail.com,https://www.yellowpages.vn/lgs/1187820177/lo-xo-quang-minh-cong-ty-tnhh-lo-xo-quang-minh.html
Cơ Khí Chính Xác Longtech Precision Việt Nam - Công Ty TNHH Longtech Precision Việt Nam,"Lô E1, KCN Quế Võ, P. Vân Dương, Tp. Bắc Ninh,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Xi Mạ - Công Ty Xi Mạ__Lò Xo, Lò Xo Công Nghiệp",www.longtech.com.vn,'0903491589__02223634369',P. Kinh Doanh,,,,sales12@longtech.com.vn,https://www.yellowpages.vn/lgs/1298895/co-khi-chinh-xac-longtech-precision-viet-nam-cong-ty-tnhh-longtech-precision-viet-nam.html
Lò Xo Siêu Giá Rẻ - Cơ Sở Sản Xuất Lò Xo Siêu Giá Rẻ,"Thôn Rùa Hạ, Thanh Thùy, Thanh Oai,","Lò Xo, Lò Xo Công Nghiệp",www.loxogiare.net__www.loxogiare.com.vn,'0333698588__0974701288',Mr. Nguyễn Văn Tươi,,male,Chủ cơ sở,anhtuoi01293315288@gmail.com,https://www.yellowpages.vn/lgs/1187909358/lo-xo-sieu-gia-re-co-so-san-xuat-lo-xo-sieu-gia-re.html
Lò Xo Hòa Đạt Thành - Công ty TNHH Hòa Đạt Thành,"83/30 Liên Khu 10 - 11, KP. 11, P. Bình Trị Đông, Q. Bình Tân,","Lò Xo, Lò Xo Công Nghiệp__Ba lô, Túi Xách - Phụ Liệu Ba lô, Túi Xách, Vali",www.hoadatthanh.vn,'02839613640__0903068809',Ms. Yiu Chăn Đạt,,female,,datchan2@gmail.com,https://www.yellowpages.vn/lgs/1011960/lo-xo-hoa-dat-thanh-cong-ty-tnhh-hoa-dat-thanh.html
Lò Xo Công Nghiệp - Công Ty TNHH Linh Kiện Xin Sheng,"232 Hồng Bàng, P. 15, Q. 15,","Lò Xo, Lò Xo Công Nghiệp__Khuôn Mẫu - Linh Phụ Kiện Khuôn Mẫu",www.linhkienkhuonmauxinsheng.bizz.vn,'0931149816',Hotline,X,,,loxogongben@gmail.com,https://www.yellowpages.vn/lgs/1187839542/lo-xo-cong-nghiep-cong-ty-tnhh-linh-kien-xin-sheng.html
Cơ Khí Camex Việt Nam - Công Ty TNHH Camex Việt Nam,"Thôn Quảng Nôi, X. Ứng Hòe, H. Ninh Giang,","Cơ Khí -  Gia Công và Chế Tạo__Lò Xo, Lò Xo Công Nghiệp",www.camex.com.vn,'02203760222__0974809800',Hotline,X,,,camex-chinh@camex.com.vn,https://www.yellowpages.vn/lgs/1187700714/co-khi-camex-viet-nam-cong-ty-tnhh-camex-viet-nam.html
Lò Xo Newtech - Công Ty TNHH Newtech Hải Dương,"Thôn 1, Xã Vạn Phúc, Huyện Ninh Giang,","Lò Xo, Lò Xo Công Nghiệp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.loxo.net.vn,'0911103343__0942395662',Mr. Tạ Đình Triệu,,male,TP. Kinh Doanh,newtech.vnn@gmail.com,https://www.yellowpages.vn/lgs/1187773146/lo-xo-newtech-cong-ty-tnhh-newtech-hai-duong.html
Lò Xo Yang Min - Công Ty TNHH MTV Yang Min Enterprise (Việt Nam),"CCN Đa Nghề Đông Thọ, Đông Thọ, Yên Phong,","Lò Xo, Lò Xo Công Nghiệp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.triple-s-diespring.com,'02223883015__0919035186__02223883015183',Ms. Nguyễn Thị Phương,,female,,sales@yangmin.com.vn,https://www.yellowpages.vn/lgs/1187880744/lo-xo-yang-min-cong-ty-tnhh-mtv-yang-min-enterprise--viet-nam-.html
Lò Xo VINA SPRING - Công Ty TNHH VINA SPRING,"Số 12, Ngách 3, Ngõ 88, Phố Vũ Hựu, Phường Thanh Bình,","Thép Đàn Hồi, Thép Lò Xo__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Lò Xo, Lò Xo Công Nghiệp",www.vinaspring.com,'0939887255__0985576336',Mr. Vũ Văn Hào,,male,,haovu485@gmail.com,https://www.yellowpages.vn/lgs/1187840097/lo-xo-vina-spring-cong-ty-tnhh-vina-spring.html
Lò Xo Yu Tien Việt Nam - Công Ty TNHH Lò Xo Yu Tien Việt Nam,"Xóm Ngoài, Xã Uy Nỗ, Huyện Đông Anh,","Lò Xo, Lò Xo Công Nghiệp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.yutien-spring.com.vn,'0969111327__02432005920',Ms. Nga,,female,Phòng Kinh Doanh,loxoyutien@gmail.com,https://www.yellowpages.vn/lgs/1187793657/lo-xo-yu-tien-viet-nam-cong-ty-tnhh-lo-xo-yu-tien-viet-nam.html
