company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiết Bị Chiếu Sáng ELINK - Công Ty CP Sản Xuất Thương Mại Sáng Việt,"359A Ấp Long Bình, X. Long Hiệp, H. Bến Lức,","Đèn Led Công Nghiệp, Đèn Led Nhà Xưởng__Đèn Led Dân Dụng, Đèn Led Văn Phòng__Đèn LED__Máng Đèn và Chóa Đèn",www.elink.com.vn,'02723644999',Văn Phòng,,,,hanhchinhnhansu@elink.com.vn,https://www.yellowpages.vn/lgs/688905/thiet-bi-chieu-sang-elink-cong-ty-cp-san-xuat-thuong-mai-sang-viet.html
Đèn Led Paragon - Công Ty TNHH Sản Xuất Thương Mại Minh Hưng Long,"Số 241 Lý Thường Kiệt, P.15, Q.11,","Đèn LED__Đèn Trang Trí (Đèn Màu, Đèn Chùm,..)__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn",www.paragon.com.vn,'0914409142__02838633594',Hotline,X,,,info@paragon-led.com,https://www.yellowpages.vn/lgs/1010910/den-led-paragon-cong-ty-tnhh-san-xuat-thuong-mai-minh-hung-long.html
Công Ty CP Thiết Bị Điện Tổng Hợp Anh Quân,"Số 4, Ngõ 86, Đường Giáp Bát, P. Giáp Bát, Q. Hoàng Mai,",Máng Đèn và Chóa Đèn__Công tắc và ổ cắm điện Dân Dụng__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện,www.sunghwa.vn,'0963357459__02436644638',Hotline,X,,,sunghwananhquan@gmail.com,https://www.yellowpages.vn/lgs/1187698692/cong-ty-cp-thiet-bi-dien-tong-hop-anh-quan.html
Công Ty Cổ Phần Đầu Tư Xây Dựng Toàn Phát,"Lô 49A, Khu Công Nghiệp Quang Minh, TT. Chi Đông, Mê Linh,","Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Mạ Kẽm Nhúng Nóng, Nhúng Kẽm",www.cotdentoanphat.vn,'0976599858__02435860671',Mr. Lê Thế Nam,,male,TP. Kinh doanh,nam@bulong.vn,https://www.yellowpages.vn/lgs/1187836644/cong-ty-co-phan-dau-tu-xay-dung-toan-phat.html
Công Ty TNHH Thương Mại Hải Đăng Quang,"Tầng 5 Tòa Nhà Nam Hải, Lô 1-9A KCN. Vĩnh Hoàng, Đờng Hoàng Văn Thụ, Q. Hoàng Mai,","Đèn LED__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Máng Đèn và Chóa Đèn__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Đèn Led Công Nghiệp, Đèn Led Nhà Xưởng",www.haidangquang.com,'0983179023__02462843529',Mr. Tùng,,male,,tung.pm@haidangquang.com,https://www.yellowpages.vn/lgs/119303757/cong-ty-tnhh-thuong-mai-hai-dang-quang.html
Công Ty Cổ Phần Thiết Bị Điện N.V.H,"Số 35, Ngõ 281, Đường Nguyễn Tam Trinh, P. Hoàng Văn Thụ,","Đèn Led Dân Dụng, Đèn Led Văn Phòng__Thang Máng Cáp, Thang Cáp, Máng Cáp__Đèn LED__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Đèn Led Âm Trần, Đèn Led Downlight__Đèn Exit, Đèn Thoát Hiểm__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn",www.nvh.com.vn__www.chieusangnhat.com.vn,'0985952468__02466849298',Ông Nguyễn Văn Hiến,,male,,chieusangnhat@gmail.com,https://www.yellowpages.vn/lgs/1187695674/cong-ty-co-phan-thiet-bi-dien-n.v.h.html
Đèn Led ECONANO - Công Ty TNHH NVC Việt Nam,"302B (Đồi Diện Khách Sản Hải Phòng), Đường Nguyễn Bỉnh Khiêm, P. Bạch Đằng, Q. Ngô Quyền,","Đèn Led Dân Dụng, Đèn Led Văn Phòng__Đèn LED__Đèn Trang Trí (Đèn Màu, Đèn Chùm,..)__Đèn Led Âm Trần, Đèn Led Downlight__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn__Đèn Led Dây, Đèn Led Trang Trí__Đèn Led Công Nghiệp, Đèn Led Nhà Xưởng",www.econano.com.vn,'02258604144__0918604144',Mr. Vương,,male,,"vnlighting688@gmail.com, econano.led@gmail.com",https://www.yellowpages.vn/lgs/1187718402/den-led-econano-cong-ty-tnhh-nvc-viet-nam.html
Công Ty Cổ Phần Sản Xuất Trụ Đèn Chiếu Sáng Đô Thị Số 1,"515 Quốc Lộ 1A, An Phú Đông, Q. 12,","Đèn LED__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Đèn Năng Lượng Mặt Trời__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.chieusangdothiso1.com,'0936211164__02862765067__02866500523',Mr. Uyên,,male,Giám Đốc,chieusangcongcong@gmail.com,https://www.yellowpages.vn/lgs/1187842635/cong-ty-co-phan-san-xuat-tru-den-chieu-sang-do-thi-so-1.html
Công Ty Cổ Phần Sản Xuất Và Thương Mại ánh Sáng Việt,"Số 21 Phố Thượng Thanh, Q. Long Biên,","Đèn Trang Trí (Đèn Màu, Đèn Chùm,..)__Chiếu Sáng - Thầu Lắp Đặt Công Trình Chiếu Sáng__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Chiếu Sáng - Thiết Bị Chiếu Sáng, Hệ Thống Chiếu Sáng__Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.anhsangviet.net,'0961779228__0943879985__0969740112__0941546111',Mr. Phúc,,male,Giám đốc,anhsangviet668@gmail.com,https://www.yellowpages.vn/lgs/1187855877/cong-ty-co-phan-san-xuat-va-thuong-mai-anh-sang-viet.html
Công Ty TNHH XD TM Xuất Nhập Khẩu Thiết Bị Điện Hoàng Long,": Số E 1/2x2, Đường Quách Điêu, Ấp 5, X. Vĩnh Lộc A, H. Bình Chánh,","Thiết Bị Nhà Bếp Gia Đình (Nồi Cơm, Máy Hút Mùi, Máy Xay..)__Thang Máng Cáp, Thang Cáp, Máng Cáp__Dây Cáp Điện - Dây Điện và Cáp Điện__Thiết Bị Điện - Sản Xuất và Cung Cấp Thiết Bị Điện__Công tắc và ổ cắm điện Dân Dụng__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Tủ Bảng Điện__Thiết Bị Vệ Sinh - Phân Phối và Kinh Doanh__Máng Đèn và Chóa Đèn__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng",www.cadivihoanglong.vn,'0906755119__02868042299',Mr Lê Như Tuấn,,male,Phó Giám Đốc,cadivihoanglong79@gmail.com,https://www.yellowpages.vn/lgs/1187819208/cong-ty-tnhh-xd-tm-xuat-nhap-khau-thiet-bi-dien-hoang-long.html
