company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Thiết Bị Công Nghiệp WORLDSTAR - Công Ty TNHH WorldStar Việt Nam,"89/5A2 Đường Số 49, Khu Phố 6, Phường Hiệp Bình Chánh, TP. Thủ Đức,","Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Sơn Kim Loại (Sơn Chống Rỉ, Sơn Mạ Kẽm, Sơn Tàu Biển,.)__Gỗ Tự Nhiên (Gỗ Tần Bì, Trắc, Mun, óc Chó,..) - Nhập Khẩu Và Cung Cấp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",,'0984620021__0909006024__0386300261__0902615220',Ms. Nguyễn Thị Minh Phi,,female,Giám đốc,phinguyen.worldstar@gmail.com,https://www.yellowpages.vn/lgs/1187923590/thiet-bi-cong-nghiep-worldstar-cong-ty-tnhh-worldstar-viet-nam.html
Máy Móc Thiết Bị Cơ Khí Quảng Nguyên - Công Ty TNHH Một Thành Viên Thương Mại Máy Móc Thiết Bị Quảng Nguyên,"Số 752, KP. 9, Đường Phú Lợi, P. Phú Hòa, TP. Thủ Dầu Một,","Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Cơ Khí CNC__Máy Phay, Tiện__Máy Mài",,'02743858598__0943773383',Hotline,X,,,guangyuanjixie@yahoo.com,https://www.yellowpages.vn/lgs/1187875245/may-moc-thiet-bi-co-khi-quang-nguyen-cong-ty-tnhh-mot-thanh-vien-thuong-mai-may-moc-thiet-bi-quang-nguyen.html
Máy Công Cụ Phú An Bình - Công Ty TNHH Công Nghệ Phú An Bình,"29 Đường Số 1, Cư Xá Chu Văn An, P. 26, Q. Bình Thạnh,","Máy Cơ Khí CNC__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Mài__Máy Phay, Tiện",www.pabcnc.com.vn,'02862940491',Hotline,X,,,phuanbinh@pabcnc.com.vn,https://www.yellowpages.vn/lgs/1187900145/may-cong-cu-phu-an-binh-cong-ty-tnhh-cong-nghe-phu-an-binh.html
Máy Móc Thịnh Qua - Công Ty TNHH MTV TM DV Thịnh Qua,"21/1 KP. Bình Phước B, P. Bình Chuẩn, TP. Thuận An,","Máy Cơ Khí CNC__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..__Máy Cắt Tôn__Máy Chấn__Máy Đột, Dập__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Cắt Khắc Laser, CNC, Plasma,..",www.maythinhqua.com,'0975827090__02746284365',Mr. Nguyễn Duy Tuấn Minh,,male,Phó Tổng Giám Đốc,nguyenduytuanminh@gmail.com,https://www.yellowpages.vn/lgs/1187826141/may-moc-thinh-qua-cong-ty-tnhh-mtv-tm-dv-thinh-qua.html
Máy Cơ Khí Thịnh Qua - Công Ty TNHH MTV Thương Mại Dịch Vụ Thịnh Qua,"21/1 KP. Bình Phước B, P. Bình Chuẩn, TP. Thuận An,","Máy Cơ Khí CNC__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..__Máy Cắt Tôn__Máy Chấn__Vệ Sinh Công Nghiệp - Máy Móc và Thiết Bị Vệ Sinh Công Nghiệp__Máy Đột, Dập__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Hàn (Tig, Mig, Mag, Que, Điện, laser..)__Máy Cắt Khắc Laser, CNC, Plasma,..",www.maythinhqua.vn__www.sginternational.vn,'0932896888__027437633336284365',HOTLINE,X,,,shenggevietnam@gmail.com,https://www.yellowpages.vn/lgs/1187906025/may-co-khi-thinh-qua-cong-ty-tnhh-mtv-thuong-mai-dich-vu-thinh-qua.html
Máy Cắt Plasma Việt Hàn - Công Ty TNHH Phát Triển Công Nghệ CNC Việt Hàn,"Số 166, Đường Tựu Liệt, Q. Thanh Trì,","Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Cơ Khí CNC__Máy Cắt Khắc Laser, CNC, Plasma,..__Máy Cắt Plasma, Máy Cắt Laser - Nhập Khẩu Và Phân Phối",www.maycatcncplasma.com__www.cncviethan.vn,'0242604263__02462604263__0866584123',Hotline,X,,,cncviethan@gmail.com,https://www.yellowpages.vn/lgs/1187816907/may-cat-plasma-viet-han-cong-ty-tnhh-phat-trien-cong-nghe-cnc-viet-han.html
Máy Móc Và Thiết Bị Cơ Khí Minh Anh - Công Ty TNHH Thông Tin Kỹ Thuật Minh Anh,"Số 193, Đường 3/2, P.10, TP. Vũng Tàu,","Máy Móc, Thiết Bị Cơ Khí - Dịch Vụ Sửa Chữa, Bảo Trì, Nâng Cấp__Thiết Bị Thủy Lực__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp__Máy Móc - Bảo Trì và Sửa Chữa",www.minhanh.com__www.rentatool.vn,'02543857923__0903816818',Mr. Bạch Vũ Thủy,,male,Giám Đốc,thuybv@minhanh.com,https://www.yellowpages.vn/lgs/1022274/may-moc-va-thiet-bi-co-khi-minh-anh-cong-ty-tnhh-thong-tin-ky-thuat-minh-anh.html
Máy Cơ Khí Hữu Lộc - Công Ty TNHH MTV Thiết Bị Công Nghiệp Hữu Lộc,"108/25 Đường 1B, P. Bình Hưng Hòa A, Q. Bình Tân,","Máy ép Nhựa__Máy Cơ Khí CNC__Máy Đột, Dập__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Cắt Khắc Laser, CNC, Plasma,..__Máy Mài__Máy Khoan Cơ Khí__Máy Phay, Tiện",www.huuloccnc.com,'0979663979__0989515022',Mr. Ngân,,male,Giám Đốc,locngan2013@gmail.com,https://www.yellowpages.vn/lgs/1187890929/may-co-khi-huu-loc-cong-ty-tnhh-mtv-thiet-bi-cong-nghiep-huu-loc.html
Máy Cơ Khí Hồng Ký - Công Ty TNHH Sản Xuất Thương Mại Cơ Khí Hồng Ký,"38 Tây Lân, KP. 7, P. Bình Trị Đông A, Q. Bình Tân,","Máy Hàn Que__Máy Hàn MIG__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Hàn (Tig, Mig, Mag, Que, Điện, laser..)__Máy Hàn TiG__Máy Công Cụ__Máy Khoan Cơ Khí",www.hongky.com,'0918009933__02837541122',Nguyễn Duy Toàn,,,,sales@hongky.com.vn,https://www.yellowpages.vn/lgs/702219/may-co-khi-hong-ky-cong-ty-tnhh-san-xuat-thuong-mai-co-khi-hong-ky.html
Máy Chế Biến Gỗ Gia Bảo - Công Ty CP Tự Động Hóa Gia Bảo,": 159/67 Đường Thượng Hội, Tân Hội, H. Đan Phượng,","Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Máy Cơ Khí CNC__Máy Chế Biến Gỗ__Máy Cắt Khắc Laser, CNC, Plasma,..",www.giabaotech.com.vn,'0975953868',Mr. Ngữ,,male,,truongquocngu85@gmail.com,https://www.yellowpages.vn/lgs/1187738520/may-che-bien-go-gia-bao-cong-ty-cp-tu-dong-hoa-gia-bao.html
