company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Nồi Hơi Thiên Hải - Công Ty TNHH Một Thành Viên Nồi Hơi Công Nghiệp Thiên Hải,"Số 115 Đường Số 9, P. 9, Q. Gò Vấp, TP. HCM","Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Nồi Hơi - Dịch Vụ Sửa Chữa, Bảo Trì, Bảo Dưỡng, Cho Thuê Nồi Hơi, Bán Hơi",www.noihoithienhai.bizz.vn,'0935040794__0932750797',Hotline,X,,,noihoithiehai@gmail.com,https://www.yellowpages.vn/lgs/1187709240/noi-hoi-thien-hai-cong-ty-tnhh-mot-thanh-vien-noi-hoi-cong-nghiep-thien-hai.html
Công Ty TNHH Bách Khoa á Châu ( Apolytech ),": Số 10, Ấp 2, X. Nhựt Chánh, H. Bến Lức,","Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Nồi Hơi Ghi Xích__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi, Lò Hơi Đốt Bằng Rác, Vải Vụn__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Nồi Hơi - Dịch Vụ Sửa Chữa, Bảo Trì, Bảo Dưỡng, Cho Thuê Nồi Hơi, Bán Hơi__Nồi Hơi Đốt Mùn Cưa, Lò Hơi Đốt Mùn Cưa__áp Lực - Thiết Bị áp Lực",www.bachkhoaachau.vn__www.apolytech.com,'02723637677__0901552999',Mr. Trung,,male,,ductrung@apolytech.com,https://www.yellowpages.vn/lgs/1187697609/cong-ty-tnhh-bach-khoa-a-chau---apolytech--.html
Nồi Hơi Lò Hơi Minh Đức Tiến - Công Ty TNHH Một Thành Viên Minh Đức Tiến,"Số 17/4, KP. Tây A, P. Đông Hòa, TX. Dĩ An,","Lò Hơi Đốt Trấu, Nồi Hơi Đốt Trấu__Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.noihoiminhductien.bizz.vn__www.noihoiminhductien.com,'0909366406__02743780449',Ông Bùi Văn Tiến,,male,Giám Đốc,buivantien_tien@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187717406/noi-hoi-lo-hoi-minh-duc-tien-cong-ty-tnhh-mot-thanh-vien-minh-duc-tien.html
Nồi Hơi Nam An - Công Ty Cổ Phần TP Nam An,"Số 9, Đường Số 5, KĐT Vạn Phúc,","Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Dầu Tải Nhiệt, Lò Dầu Tải Nhiệt",www.tpeg.vn,'0974022345__02836367459',Mr. Nguyễn Thị Lan Hương,,male,Giám Đốc,am@tpeg.vn,https://www.yellowpages.vn/lgs/1187932635/noi-hoi-nam-an-cong-ty-co-phan-tp-nam-an.html
Công Ty TNHH Nồi Hơi Đỉnh Việt," Lầu 4, Tòa Nhà Mộc Gia, 238-242 Nguyễn Oanh, P. 17, Q. Gò Vấp,","Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi",www.divigroup.com.vn,'0918765331__0942488818__02835358889',Mr.  Hiếu,,male,,ceo@divigroup.com.vn,https://www.yellowpages.vn/lgs/1187738664/cong-ty-tnhh-noi-hoi-dinh-viet.html
Lò Hơi Thanh Hóa - Công Ty Cổ Phần Lò Hơi Thanh Hóa,"SN 28, MB 24/24, Phường Quảng Thắng, TP. Thanh Hóa,","Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Lò Sấy, Thiết Bị Sấy Công Nghiệp__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi, Lò Hơi Đốt Bằng Rác, Vải Vụn__Nồi Hơi - Dịch Vụ Sửa Chữa, Bảo Trì, Bảo Dưỡng, Cho Thuê Nồi Hơi, Bán Hơi__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Bếp Công Nghiệp Inox, Thiết Bị Bếp Công Nghiệp - Sản Xuất Và Lắp Đặt__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.lohoithanhhoa.com__www.lohoidotvai.com,'0916860161',Mr. Nguyễn Trung Hiếu,,male,,lohoithanhhoa.vn@gmail.com,https://www.yellowpages.vn/lgs/1187739993/lo-hoi-thanh-hoa-cong-ty-co-phan-lo-hoi-thanh-hoa.html
Martech Boiler - Công Ty Cổ Phần Mạc Tích,": Đường Số 2, KCN Nhơn Trạch III - Giai Đoạn 2, X. Long Thọ, H. Nhơn Trạch,","Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Nồi Hơi, Lò Hơi Đốt Bằng Rác, Vải Vụn__Nồi Hơi - Dịch Vụ Sửa Chữa, Bảo Trì, Bảo Dưỡng, Cho Thuê Nồi Hơi, Bán Hơi__áp Lực - Thiết Bị áp Lực__Nồi Dầu Tải Nhiệt, Lò Dầu Tải Nhiệt__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.martech.com.vn,'02513566345__0913871714',Mr. Kim,,male,,info@martech.com.vn,https://www.yellowpages.vn/lgs/707970/martech-boiler-cong-ty-co-phan-mac-tich.html
Lò Hơi Thái Dương - Công Ty TNHH MTV SX TM DV Kỹ Thuật Thái Dương,"39/1A/9 Đường 47, KP. 6, P. Hiệp Bình Chánh, Q. Thủ Đức,","Nồi Hơi Điện, Lò Hơi Điện__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi, Lò Hơi Đốt Bằng Rác, Vải Vụn__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Nồi Hơi Đốt Mùn Cưa, Lò Hơi Đốt Mùn Cưa__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.lohoithaiduong.com,'0985209339__0911783668',Ông Trần Duy Phi Hùng,,male,,thaiduongboiler38@gmail.com,https://www.yellowpages.vn/lgs/1187881509/lo-hoi-thai-duong-cong-ty-tnhh-mtv-sx-tm-dv-ky-thuat-thai-duong.html
Nồi Hơi Rehmtech - Công Ty TNHH Công Nghệ Cơ Nhiệt Lạnh Bách Khoa Rehmtech,"Số 102, Ngõ 389 Trương Định, P. Tân Mai, Q. Hoàng Mai,","Lò Hơi Đốt Trấu, Nồi Hơi Đốt Trấu__Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Ghi Xích__Lò Sấy, Thiết Bị Sấy Công Nghiệp__Lò Hơi Tầng Sôi, Nồi Hơi Tầng Sôi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Thiết Bị Trao Đổi Nhiệt (Dạng ống, Tấm, Chùm)__áp Lực - Thiết Bị áp Lực__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.noihoilohoi.com.vn,'0944586986__02439923992',Mr. Kim Ngọc Ninh,,male,Tư Vấn Kỹ Thuật,rehmtech@gmail.com,https://www.yellowpages.vn/lgs/1187752920/noi-hoi-rehmtech-cong-ty-tnhh-cong-nghe-co-nhiet-lanh-bach-khoa-rehmtech.html
Nồi Hơi Vương Long - Công Ty TNHH Khí Nhiệt Điện Vương Long,"1272 Đường Nguyễn Chí Thanh, Khu Phố 1, P. Hiệp An, TP. Thủ Dầu Một,","Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Nồi Hơi, Lò Hơi Đốt Bằng Rác, Vải Vụn__Nồi Dầu Tải Nhiệt, Lò Dầu Tải Nhiệt__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi",www.khinhietdien.com,'0899960906__0967960906',Hotline,X,,,khinhietdienvuonglong@gmail.com,https://www.yellowpages.vn/lgs/1187834523/noi-hoi-vuong-long-cong-ty-tnhh-khi-nhiet-dien-vuong-long.html
