company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Phụ Kiện Cửa Minh Khải - Công Ty TNHH TM DV Phụ Kiện Kính Minh Khải,"B59 Đường C1, P. Tân Thới Nhất, Q. 12,","Phụ Kiện Nhôm Kính__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Cửa, Cửa Kính, Cửa Tự Động,.. - Dịch Vụ Sửa Chữa và Bảo Trì",www.phukienminhkhai.vn,'0938827889',Mr. Vịnh,,male,Giám Đốc,cuacuonalpha@gmail.com,https://www.yellowpages.vn/lgs/1187923026/phu-kien-cua-minh-khai-cong-ty-tnhh-tm-dv-phu-kien-kinh-minh-khai.html
Khóa Ngũ Kim Reallocks - Công Ty TNHH SX XNK Ngũ Kim Reallocks,"397 Đường Hậu Giang, Phường 11, Quận 6,","Khóa - Nhà Sản Xuất Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa Điện Tử",www.reallockvn.com__www.reallock.com.vn,'0908313956__0911849336__0282223828002822238058',Ms. Thúy,,female,,jessica@reallock.com,https://www.yellowpages.vn/lgs/1187889000/khoa-ngu-kim-reallocks-cong-ty-tnhh-sx-xnk-ngu-kim-reallocks.html
Bulong ốc Vít FNF Việt Nam - Công Ty TNHH FNF Việt Nam,"Số 24 ngách 155/168 Đường Trường Chinh, P. Phương Liệt, Q. Thanh Xuân,","Khóa - Nhập Khẩu Và Phân Phối Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Bulong Inox, ốc Inox, Vít Inox__Đá Mài, Đá Cắt__ốc, Vít, Bù Loong__Máy Móc - Các Loại__Đai ốc, E Cu, Tán",www.fnfvietnam.com,'0971652869',Hotline,X,,,fnf.vina@gmail.com,https://www.yellowpages.vn/lgs/1187871246/bulong-oc-vit-fnf-viet-nam-cong-ty-tnhh-fnf-viet-nam.html
Công Ty Cổ Phần Kim Gia Phạm,"656 Sư Vạn Hạnh, P. 12, Q. 10,","Khóa - Nhập Khẩu Và Phân Phối Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Khóa Điện Tử__Khóa Khách Sạn",www.vickini.com__www.ivanhardware.com,'0977799959',Mr. Phạm Văn Hiệp,,male,TGĐ,hiep.pv@ivanhardware.com,https://www.yellowpages.vn/lgs/1187859747/cong-ty-co-phan-kim-gia-pham.html
Phụ Kiện Nội Thất Kim Thiên Phú - Công Ty TNHH Sản Xuất Thương Mại Kim Thiên Phú,"Thửa Đất 1634, Tờ Bản Đồ 15, KP. Tân Phước, P. Tân Bình, TX. Dĩ An,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Gỗ - Vật Tư Ngành Gỗ__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Kim Khí - Vật Tư Và Phụ Kiện",www.kimthienphu.bizz.vn,'0914220788__0903342666',Hotline,X,,,kimthienphu38@gmail.com,https://www.yellowpages.vn/lgs/1187889795/phu-kien-noi-that-kim-thien-phu-cong-ty-tnhh-san-xuat-thuong-mai-kim-thien-phu.html
Inox Phát Tài - Doanh nghiệp Inox Phát Tài,"364-366 Đất Mới, P. Bình Trị Đông, Q. Bình Tân,","Đèn Led Dân Dụng, Đèn Led Văn Phòng__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Đèn LED__Đèn Led Âm Trần, Đèn Led Downlight__Công tắc và ổ cắm điện Dân Dụng__Inox - Sản Xuất Và Gia Công Inox__Móc áo, Móc Treo Quần áo Và Các Phụ Kiện,.. - Sản Xuất Và Kinh Doanh__Đèn Led Công Nghiệp, Đèn Led Nhà Xưởng__Đèn Led Dây, Đèn Led Trang Trí",www.phattai.bizz.vn,'0903303318__02854261433',Ông Đoàn Hữu Phát,,male,,phattai364@gmail.com,https://www.yellowpages.vn/lgs/1187799684/inox-phat-tai-doanh-nghiep-inox-phat-tai.html
Phụ Kiện Nhôm Kính Phúc Khang - Công Ty TNHH TMDV Đầu Tư Xây Dựng Phúc Khang,"Tầng 2, Tòa Nhà NFV, 27A Hoàng Việt, P.4, Q.Tân Bình,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Phụ Kiện Nhôm Kính__Kính - Phụ Kiện Kính__Vách Ngăn Kính, Vách Ngăn Nhôm Kính__Cầu Thang, Lan Can Kính__Vách Ngăn - Cung Cấp Và Thi Công",www.phukiennhomkinh.net,'02836369569__0974999407',Mr. Bùi Văn Đình,,male,,buidinh.cntt@gmail.com,https://www.yellowpages.vn/lgs/1187854647/phu-kien-nhom-kinh-phuc-khang-cong-ty-tnhh-tmdv-dau-tu-xay-dung-phuc-khang.html
Phụ Kiện Ngành Gỗ Ho Shin Precision - Công Ty TNHH Ho Shin Precision,"KP. Bình Phước A, P. Bình Chuẩn, TX. Thuận An,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Phụ Tùng Xe Đạp, Phụ Kiện Xe Đạp__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp",www.hoshinvn.com,'02743732560',Mr. Lai Ming Tung,,male,Giám Đốc,hoshincty@gmail.com,https://www.yellowpages.vn/lgs/1187812650/phu-kien-nganh-go-ho-shin-precision-cong-ty-tnhh-ho-shin-precision.html
Khóa Và Phụ Kiện Cửa Nhật Minh - Công Ty CP Đầu Tư Và Phát Triển Quốc Tế Nhật Minh,"Số 96 Trần Vỹ, Phường Mai Dịch, Quận Cầu Giấy,","Khóa - Nhập Khẩu Và Phân Phối Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Khóa Điện Tử__Tư Vấn, Thiết Kế và Thi Công - Công Trình Các Loại",www.sieuthikhoadientu.com__www.nhatminhlocks.com,'0911144000__02463265966',HOTLINE,X,,,nhatminhlocks@gmail.com,https://www.yellowpages.vn/lgs/1187779131/khoa-va-phu-kien-cua-nhat-minh-cong-ty-cp-dau-tu-va-phat-trien-quoc-te-nhat-minh.html
Phụ Kiện Ngành Gỗ Kim Thành Phú - Công Ty TNHH Một Thành Viên Kim Thành Phú,"Số 69E/1, KP. 1A, P. An Phú, TX. Thuận An,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp",www.kimthanhphu.com__www.ngukim.net,'02473796490__0937753892',Bà Bùi Thị Nguyệt,,female,,kimthanhocvit@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187891751/phu-kien-nganh-go-kim-thanh-phu-cong-ty-tnhh-mot-thanh-vien-kim-thanh-phu.html
