company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty TNHH Cơ Khí Vinh Lập ( Công Ty Vạn Phong ),"1A187/1 Vĩnh Lộc, ấp 1, X. Phạm Văn Hai, H. Bình Chánh,","Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Kim Khí - Vật Tư Và Phụ Kiện",www.vinhlap.com,'0903839928__02837663656',Ông Văn Chấn Sáng,,male,Giám Đốc,,https://www.yellowpages.vn/lgs/1187704257/cong-ty-tnhh-co-khi-vinh-lap---cong-ty-van-phong--.html
Phụ Kiện Ngành Gỗ Hoa Đạt - Công Ty TNHH SX XNK Hoa Đạt,"Số 520, QL. 13, Hiệp Bình Phước, Q. Thủ Đức,","Cơ Khí -  Gia Công và Chế Tạo__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Dụng Cụ Cơ Khí__Đinh Công Nghiệp - Sản Xuất và Phân Phối__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.phukiennganhgo.com,'0902407828__02743799446',Bùi Thị Mỹ Thảo,,,Giám đốc,kinhdoanh@phukiennganhgo.com.vn,https://www.yellowpages.vn/lgs/1187859771/phu-kien-nganh-go-hoa-dat-cong-ty-tnhh-sx-xnk-hoa-dat.html
Phụ Kiện Ngành Gỗ ROXANA - Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Cường Thịnh ROXANA,"Thửa đất số 660, Tờ bản đồ số 8, KP. Khánh Hòa, P. Tân Phước Khánh, TX. Tân Uyên,","Gia Công ép Nhựa, Gia Công ép Nhựa Theo Yêu Cầu__Gỗ - Vật Tư Ngành Gỗ__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__ốc, Vít, Bù Loong__Bàn Chải Công Nghiệp, Bánh Cước",www.ngukimgo.com,'0982915850',Mr. Trần Anh Hùng,,male,,ngukimchinhthuan168@gmail.com,https://www.yellowpages.vn/lgs/1187812407/phu-kien-nganh-go-roxana-cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-cuong-thinh-roxana.html
Phụ Kiện Ngành Gỗ Hiệp Đạt Đồng Nai - Công Ty CP Hiệp Đạt Đồng Nai,"Khu 2, Ấp Bình Thạch, X. Bình Hòa, H. Vĩnh Cửu,","ốc, Vít, Bù Loong__Đinh Công Nghiệp - Sản Xuất và Phân Phối__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox",www.hiepdatdongnai.com,'0909931867__02513965454',Hotline,X,,,hiepdatdn@gmail.com,https://www.yellowpages.vn/lgs/999711/phu-kien-nganh-go-hiep-dat-dong-nai-cong-ty-cp-hiep-dat-dong-nai.html
Phụ Kiện Ngành Gỗ Sacom - Công Ty TNHH Thương Mại Dịch Vụ Quốc Tế Sacom,"8/1/22 Đường Số 1, Kp. 5, P. Hiệp Bình Phước, Q. Thủ Đức,","Gỗ - Vật Tư Ngành Gỗ__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Dụng Cụ Cầm Tay",www.phukiengogiare.com,'0916251966__02743802291',Bà Nguyễn Thị Xuân,,female,,nhuxuan.nguyen96@gmail.com,https://www.yellowpages.vn/lgs/1187867604/phu-kien-nganh-go-sacom-cong-ty-tnhh-thuong-mai-dich-vu-quoc-te-sacom.html
Phụ Kiện Ngành Gỗ Cao Đạt - Công Ty TNHH Một Thành Viên Dịch Vụ Thương Mại XNK Cao Đạt,"496/32/3C Dương Quảng Hàm, P. 6, Q. Gò Vấp,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox__Vòng Đệm, Long Đền__Đai ốc, E Cu, Tán__Kim Khí - Vật Tư Và Phụ Kiện",www.phutronganhgo.com__www.ngukimcaodat.com,'02837655463__0903710750__0903862047',Mr. Hồ Hoàn Kiếm,,male,,kiem_caodat@yahoo.com,https://www.yellowpages.vn/lgs/1153323/phu-kien-nganh-go-cao-dat-cong-ty-tnhh-mot-thanh-vien-dich-vu-thuong-mai-xnk-cao-dat.html
Phụ Kiện Ngành Gỗ Đại Phúc Tuấn - Công Ty TNHH Đại Phúc Tuấn,"18/ P1, KP. 1, P. Long Bình Tân, TP. Biên Hòa,","Guzong__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Vòng Đệm, Long Đền__Bulong Nở, Vít Nở, Tắc Kê__Đai ốc, E Cu, Tán",www.ngukimdaiphuctuan.bizz.vn,'0913792158__02516294757',Mr. Nguyễn Sỹ Tiếp,,male,,ngukim.dpt@gmail.com,https://www.yellowpages.vn/lgs/3779217/phu-kien-nganh-go-dai-phuc-tuan-cong-ty-tnhh-dai-phuc-tuan.html
Phụ Kiện Nội Thất Kim Thiên Phú - Công Ty TNHH Sản Xuất Thương Mại Kim Thiên Phú,"Thửa Đất 1634, Tờ Bản Đồ 15, KP. Tân Phước, P. Tân Bình, TX. Dĩ An,","Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Gỗ - Vật Tư Ngành Gỗ__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Kim Khí - Vật Tư Và Phụ Kiện",www.kimthienphu.bizz.vn,'0914220788__0903342666',Hotline,X,,,kimthienphu38@gmail.com,https://www.yellowpages.vn/lgs/1187889795/phu-kien-noi-that-kim-thien-phu-cong-ty-tnhh-san-xuat-thuong-mai-kim-thien-phu.html
Phụ Kiện Gỗ Ngọc Hương Phát - Công Ty TNHH Ngọc Hương Phát,"Thửa Đất Số 457, Tờ Bản Đồ Số 33, KP. Long Bình, P. Khánh Bình, TX. Tân Uyên,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Vòng Đệm, Long Đền__Đai ốc, E Cu, Tán",www.ngukimgiare.com,'0933570891__0983102939',Mr. Hậu,,male,,howard762424@gmail.com,https://www.yellowpages.vn/lgs/1187841234/phu-kien-go-ngoc-huong-phat-cong-ty-tnhh-ngoc-huong-phat.html
Phụ Kiện Gỗ Đông Hưng - Công Ty Cổ Phần Thương Mại Kỹ Thuật Đông Hưng,"Số 30/8C, Hai Bà Trưng, KP. Đông Tác, P. Tân Đông Hiệp, TX. Dĩ An,","Guzong__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__Chốt Gỗ, Tay Nắm Gỗ__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__ốc, Vít, Bù Loong__Thanh Ren, Ty Ren, Guzong",www.hardware.bizz.vn__www.donghung.vn,'02871007879__0984022099__0933034768',Ông Hà Xuân Nam,,male,,binhduongtinh@yahoo.com,https://www.yellowpages.vn/lgs/1187760981/phu-kien-go-dong-hung-cong-ty-co-phan-thuong-mai-ky-thuat-dong-hung.html
