company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Công Ty CP Thiết Bị Xây Dựng Trường Vũ,"K2/90 Hồ Tùng Mậu, Phường Mai Dịch, Quận Bắc Từ Liêm,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.truongvu.net,'0904859272',Hotline,X,,,nguyenxuanchi@gmail.com,https://www.yellowpages.vn/lgs/1187820450/cong-ty-cp-thiet-bi-xay-dung-truong-vu.html
Sàn Treo Gondola Vượng Phát - Công Ty TNHH Đầu Tư Xây Dựng Và Thương Mại Vượng Phát,"Ngõ P2, Đường Lê Quang Đạo, P. Phú Đô, Gần SVĐ Mỹ Đình, Q. Nam Từ Liêm,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.santhaotac.com,'0904154878__0916836798',Hotline,X,,,santreovuongphat@gmail.com,https://www.yellowpages.vn/lgs/1187853588/san-treo-gondola-vuong-phat-cong-ty-tnhh-dau-tu-xay-dung-va-thuong-mai-vuong-phat.html
Sàn Treo Shenxi - Công Ty TNHH Thiết Bị Nâng Shenxi Việt Nam,"Số nhà 37, Khu Tập Thể Dược, Tổ Dân Phố Chợ, P. Đại Mỗ, Q. Nam Từ Liêm,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.shenxi.com.vn,'0971487722__0989897977',Hotline,X,,,,https://www.yellowpages.vn/lgs/1187853606/san-treo-shenxi-cong-ty-tnhh-thiet-bi-nang-shenxi-viet-nam.html
Công Ty CP Đầu Tư Và Sản Xuất Thương Mại Hòa Bình,"Số 34M2 Khu Đô Thị Mới Yên Hòa, Cầu Giấy,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Cốp Pha Thép, Khuôn Đúc Bê Tông__Giàn Giáo Xây Dựng Và Phụ Kiện",www.gondola.com.vn,'0904552012',Mr. Cường,,male,,gondolahoabinh@gmail.com,https://www.yellowpages.vn/lgs/1187820399/cong-ty-cp-dau-tu-va-san-xuat-thuong-mai-hoa-binh.html
Vận Thăng Gia Hoàng - Công Ty TNHH MTV Xây Dựng Cơ Khí Gia Hoàng,"100/3/24 Lê Thị Hà, Ấp Đình, X. Tân Xuân, H. Hóc Môn,","Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.cokhigiahoang.com,'0903370117',Ông Hoàng Ngọc Hòa,,male,,hoacokhigiahoang@gmail.com,https://www.yellowpages.vn/lgs/1187691909/van-thang-gia-hoang-cong-ty-tnhh-mtv-xay-dung-co-khi-gia-hoang.html
Sàn Treo Wuxi Ketong - Công Ty TNHH WUXI KETONG Việt Nam,"Số 2 lô 3A, Khu Phân Lô Trần Thái Tông, Cầu Giấy,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.ketong.com.vn,'0989897977',Hotline,X,,,santreoketong@gmail.com,https://www.yellowpages.vn/lgs/1187723004/san-treo-wuxi-ketong-cong-ty-tnhh-wuxi-ketong-viet-nam.html
Công Ty TNHH Xuất Nhập Khẩu Tân Sanh,"1014 Nguyễn Trãi, P. 14, Q. 5,","Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.tansanhmachinery.com,'0906882226__02866744377',Mr. Loan,,male,,info@tansanhmachinery.com,https://www.yellowpages.vn/lgs/1187735340/cong-ty-tnhh-xuat-nhap-khau-tan-sanh.html
Công Ty TNHH Xuyên Hà Việt,"Số 107, Đường Số 2, KĐT Vạn Phúc 1, KP. 5, P. Hiệp Bình Phước, Q. Thủ Đức,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Bê Tông - Máy Móc và Thiết Bị__Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Bảo Hộ Lao Động__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Đo Lường, Đo Đạc - Thiết bị Đo Lường, Đo Đạc",www.xuyenhaviet.com__www.santreo.net,'0917537089__02836369249',Ms. Trần Thị Diệu,,female,Phòng Hợp Đồng,info@xuyenhaviet.com,https://www.yellowpages.vn/lgs/1187676654/cong-ty-tnhh-xuyen-ha-viet.html
Sàn Treo Sky Climber - Công Ty TNHH Sky Climber Việt Nam,"Số 26, Đờng Võ Văn Kiệt, X. Nam Hồng, H. Đông Anh,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê",www.gondola-sannang.com__www.skyclimber.vn,'0988368777__0936115999',Hotline,X,,,skyclimberbmu@gmail.com/ skyclimbervn@gmail.com,https://www.yellowpages.vn/lgs/1187853618/san-treo-sky-climber-cong-ty-tnhh-sky-climber-viet-nam.html
Công Ty TNHH Kỹ Thuật Phượng Hoàng,"A11 Khu Chung Cư và Nhà Liền Kề La Khê - Phường La Khê - Quận Hà Đông,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng",www.gondolaph.com,'0969600880__0395627751',Ms. Nguyễn Thị Lệ Chang,,female,,khanhchangdph@gmail.com,https://www.yellowpages.vn/lgs/1187815401/cong-ty-tnhh-ky-thuat-phuong-hoang.html
