company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Cơ Khí Nguyên Phúc - Công Ty Cổ Phần Cơ Khí Nguyên Phúc,"Số 55/6 Khu phố Bình Phú, Phường Bình Chuẩn, Thị xã Thuận An,","Nồi Hơi Điện, Lò Hơi Điện__Nồi Hơi, Lò Hơi  -  Phụ Kiện Nồi Hơi, Lò Hơi__Thang Máng Cáp, Thang Cáp, Máng Cáp__Quạt Công Nghiệp__ống Gió (Xoắn, Vuông, Tròn, Lạnh,.)__Nồi Hơi, Lò Hơi - Thiết Kế, Chế Tạo Nồi Hơi, Lò Hơi__Nồi Hơi Đốt Dầu, Lò Hơi Đốt Dầu__Thông Gió, Làm Mát - Thiết Bị Thông Gió, Làm Mát__Quạt Thông Gió và Quạt Hút Gió__Nồi Hơi Đốt Than, Lò Hơi Đốt Than__Cơ Khí - Chế Tạo Máy__Xử Lý Bụi, Xử Lý Khí Thải - Thiết Bị Và Hệ Thống Xử Lý__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Lò Hơi Đốt Củi, Nồi Hơi Đốt Củi__Quạt Ly Tâm",www.cokhinguyenphuc.com,'0946531103__02743798734__0916279697',Phòng kinh doanh,,,,nguyenphucck@gmail.com,https://www.yellowpages.vn/lgs/1187739759/co-khi-nguyen-phuc-cong-ty-co-phan-co-khi-nguyen-phuc.html
Thang Máng Cáp Thành Tiến - Công Ty TNHH Sản Xuất Thương Mại Thành Tiến,"Lai Xá, Kim Chung, Hoài Đức,","Thang Máng Cáp, Thang Cáp, Máng Cáp",www.thanhtien.net__www.thanhtien.vn,'02485882996__0914332162',Ông Nguyễn Siêu Tùng,,male,,nguyensieutung@gmail.com,https://www.yellowpages.vn/lgs/1187764176/thang-mang-cap-thanh-tien-cong-ty-tnhh-san-xuat-thuong-mai-thanh-tien.html
Cơ Điện MEE - Công Ty TNHH Kỹ Thuật Cơ Điện MEE,"Lô HT-E10- 6-9, Đường số 19, KCN Hiệp Phước, Xã Hiệp Phước, Huyện Nhà Bè,","Tủ Bảng Điện__Thiết bị Đóng Cắt Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Điều Khiển",www.mee.com.vn,'0938848788',Mr Liên,,male,Tổng Giám đốc,,https://www.yellowpages.vn/lgs/1187825532/co-dien-mee-cong-ty-tnhh-ky-thuat-co-dien-mee.html
Tủ Bảng Điện VIETPOWER - Công Ty TNHH Sản Xuất Tủ Bảng Điện VIETPOWER,": Số 27 Đường Trục, P. 13, Q. Bình Thạnh,","Tủ Điện Trung Thế__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Phân Phối__Tủ Điện Tổng__Tủ Bảng Điện__Tủ Điện Điều Khiển__Tủ Điện ATS",www.vietpowerswitchboards.com,'0966010101__02822111818__0822111818',Mr. Đoàn Văn Quý,,male,,info@vpvn.vn,https://www.yellowpages.vn/lgs/1187751483/tu-bang-dien-vietpower-cong-ty-tnhh-san-xuat-tu-bang-dien-vietpower.html
Điện Gia Nguyễn - Công Ty Cổ Phần Phát Triển Điện Gia Nguyễn,"Tổ Dân Phố Miêu Nha 2, P. Tây Mỗ, Q. Nam Từ Liêm,","Thang Máng Cáp, Thang Cáp, Máng Cáp__Đèn Trang Trí Ngoài Trời, Đèn Sân Vườn__Thiết Bị Điện - Nhập Khẩu và Phân Phối Thiết Bị Điện__Đèn Chiếu Sáng (Đèn Pha, Cao áp, Huỳnh Quang,..) - Kinh Doanh Và Phân Phối__Tủ Bảng Điện",www.gianguyenelectric.com,'0984923329',Mr Cường,,male,P. Kinh doanh,kd.gianguyen@gmail.com,https://www.yellowpages.vn/lgs/1187767695/dien-gia-nguyen-cong-ty-co-phan-phat-trien-dien-gia-nguyen.html
Công Ty TNHH Tân Đại Hưng," Đội 5, Thôn Yên Kiện, X. Ngọc Hồi, H. Thanh Trì (Gần C.A Xã Ngọc Hồi, Cách UBND Xã Ngọc Hồi 200m),","Thang Máng Cáp, Thang Cáp, Máng Cáp__Vỏ Tủ Điện__Tủ Điện Phân Phối__Tủ Tụ Bù__Tủ Bảng Điện__Tủ Điện Điều Khiển__Tủ Điện ATS__Tủ Điện Hạ Thế",www.inoxtandaihung.vn,'02436411867__0983332196',Bà Đỗ Thị Huyền,,female,NV Kinh Doanh,tandaihung.jsc@gmail.com,https://www.yellowpages.vn/lgs/1306839/cong-ty-tnhh-tan-dai-hung.html
Thang Máng Cáp Phúc Long - Công Ty TNHH Kỹ Thuật Công Nghiệp Phúc Long,"Số Nhà 28, Phố Huyện, Thị Trấn Quốc Oai, Huyện Quốc Oai,","Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Thang Máng Cáp, Thang Cáp, Máng Cáp",www.phuclongintech.vn__www.hadra.com.vn,'02432909370__0987565323',Ms. Phạm Thị Hậu,,female,,phuclongintech@gmail.com,https://www.yellowpages.vn/lgs/1187868822/thang-mang-cap-phuc-long-cong-ty-tnhh-ky-thuat-cong-nghiep-phuc-long.html
Thiết Bị Điện Max Electric - Công Ty TNHH Công Nghệ Và Dịch Vụ Kỹ Thuật Max Electric Việt Nam,"Số 19 Nguyễn Thị Duệ, Yên Hòa, Cầu Giấy,","Tủ Điện Trung Thế__Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Phân Phối__Tủ Bảng Điện__Tủ Điện Điều Khiển__Tủ Điện ATS__Tủ Điện Hạ Thế",www.maxelectric.vn__www.lapdattudien.net,'0888921188',Mr. Kiên,,male,,maxelectricvn@gmail.com,https://www.yellowpages.vn/lgs/1187835681/thiet-bi-dien-max-electric-cong-ty-tnhh-cong-nghe-va-dich-vu-ky-thuat-max-electric-viet-nam.html
Tủ Bảng Điện - Thang Máng Cáp - Công Ty Cổ Phần Điện BBE,"F1/15/2F3, Đ. Lại Hùng Cường, Tổ 15, Ấp 6A, X. Vĩnh Lộc B, H. Bình Chánh,","Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Phân Phối__Tủ Điện Tổng__Tủ Bảng Điện__Tủ Điện Điều Khiển__Tủ Điện ATS__Tủ Điện Hạ Thế",www.hethongtubangdien.com__www.bbe.vn,'0937567120',Ông Trương Văn Nhất,,male,,vannhat.bbe@gmail.com,https://www.yellowpages.vn/lgs/1187791611/tu-bang-dien-thang-mang-cap-cong-ty-co-phan-dien-bbe.html
Thiết Bị Điện Hoàng Bảo - Công Ty TNHH Sản Xuất - Thương Mại Hoàng Bảo,"Trụ Sở: 15/109 Võ Duy Ninh, P. 22, Q. Bình Thạnh,","Cơ Khí -  Gia Công và Chế Tạo__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Bảng Điện__Vỏ Tủ Điện",www.thegioitudien.com__www.hoangbao.com.vn,'0903339109__02838114316',Mr. Võ Minh Nhân,,male,Giám đốc,Hoangbaomechanical@gmail.com,https://www.yellowpages.vn/lgs/119349195/thiet-bi-dien-hoang-bao-cong-ty-tnhh-san-xuat-thuong-mai-hoang-bao.html
