company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Vận Thăng Hoàng Gia - Công Ty TNHH Thương Mại Dịch Vụ Cơ Khí Hoàng Gia,"4/7F Ấp Xuân Thới Đông 1, X. Xuân Thới Đông, H. Hóc Môn,","Thiết Bị Nâng Hạ__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng",www.vanthangnanghang.com,'0934248227__0837100322__0903378227',Hotline,X,,,cokhihoanggia15@gmail.com,https://www.yellowpages.vn/lgs/1187826192/van-thang-hoang-gia-cong-ty-tnhh-thuong-mai-dich-vu-co-khi-hoang-gia.html
Máy Xây Dựng á Châu - Công Ty Cổ Phần Máy Xây Dựng á Châu,"SN 12, Ngách 33/30, Ngõ 33, Đường Phúc Thành, P. BIên Giang, Q. Hà Đông,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..",www.asiacoma.com,'0934442866__0866606670',Mr. Phạm Văn Bắc,,male,,asiacoma.jsc@gmail.com,https://www.yellowpages.vn/lgs/1187843496/may-xay-dung-a-chau-cong-ty-co-phan-may-xay-dung-a-chau.html
Công Ty TNHH TM Dịch Vụ Cơ Khí Hoàng Gia,"4/7F Ấp Xuân Thới Đông 1, X. Xuân Thới Đông, H. Hóc Môn,","Thiết Bị Nâng Hạ__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.vanthangnanghang.com,'02837100322__0903378227__0934248227',Hotline,X,,,hoangngocdinh.ntu@gmail.com,https://www.yellowpages.vn/lgs/1187826282/cong-ty-tnhh-tm-dich-vu-co-khi-hoang-gia.html
Thiết Bị Xây Dựng Quốc Tế Trường Thành - Công Ty TNHH Kinh Doanh Quốc Tế Trường Thành,"Tầng 1, Tòa Nhà Packsimex, Phường Bến Nghé, Quận 1,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Xây Dựng - Cho Thuê Máy Xây Dựng Và Thiết Bị Xây Dựng__Thiết Bị Nâng Hạ__Giàn Giáo Xây Dựng Và Phụ Kiện__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.truongthanh.co,'02866840835',Mr. Phương,,male,Phòng Kinh Doanh,truongthanhhome@gmail.com,https://www.yellowpages.vn/lgs/1187817540/thiet-bi-xay-dung-quoc-te-truong-thanh-cong-ty-tnhh-kinh-doanh-quoc-te-truong-thanh.html
Vận Thăng Gia Hoàng - Công Ty TNHH MTV Xây Dựng Cơ Khí Gia Hoàng,"100/3/24 Lê Thị Hà, Ấp Đình, X. Tân Xuân, H. Hóc Môn,","Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Thiết Bị Nâng Hạ - Phụ Tùng Thiết Bị Nâng Hạ",www.cokhigiahoang.com,'0903370117',Ông Hoàng Ngọc Hòa,,male,,hoacokhigiahoang@gmail.com,https://www.yellowpages.vn/lgs/1187691909/van-thang-gia-hoang-cong-ty-tnhh-mtv-xay-dung-co-khi-gia-hoang.html
Cơ khí Phú Mỹ - Công Ty TNHH Thương Mại Và Đầu Tư Cơ Khí Phú Mỹ,"Số 10C, Ngõ 8, Hà Trì 1, P. Hà Cầu, Q. Hà Đông,","Thang Máy Tải Hàng, Thang Máy Tải Thực Phẩm__Thiết Bị Nâng Hạ__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",,'0979824777',Mr. Bùi Xuân Phú,,male,,cokhichinhxac.phumy@gmail.com,https://www.yellowpages.vn/lgs/1187879619/co-khi-phu-my-cong-ty-tnhh-thuong-mai-va-dau-tu-co-khi-phu-my.html
Cẩu Tháp Hưng An - Công Ty TNHH MTV Thương Mại Dịch Vụ Xây Dựng Hưng An,"299/2 Đào Trí, Khu Phố 3, P. Phú Thuận, Q. 7,","Kết Cấu Thép - Thiết kế, Gia Công Và Sản Xuất Kết Cấu Thép__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Cho Thuê Máy Xây Dựng Và Thiết Bị Xây Dựng__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.hungan.bizz.vn,'02837851698__0902701388__0906651898',Hotline 1,,,Kinh Doanh,mtvxdhungan@gmail.com,https://www.yellowpages.vn/lgs/1187701086/cau-thap-hung-an-cong-ty-tnhh-mtv-thuong-mai-dich-vu-xay-dung-hung-an.html
Chi Nhánh Công Ty CP Sản Xuất Và Thương Mại Việt Phát,"382/57 Quang Trung, P. 10, Q. Gò Vấp,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Giàn Giáo Xây Dựng Và Phụ Kiện",www.vanthangsumo.com__www.bestvietphat.com.vn,'0949848026__0949846531__02839212988',Ông Nguyễn Văn Xuân,,male,,linhvanthangsumo@gmail.com,https://www.yellowpages.vn/lgs/1187685813/chi-nhanh-cong-ty-cp-san-xuat-va-thuong-mai-viet-phat.html
Thiết Bị Xây Dựng Huy Độ - Công Ty TNHH Huy Độ,"818 Đường Láng, P. Láng Thượng, Q. Đống Đa,","Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Máy Cắt Sắt, Máy Uốn Sắt, Uốn Thép,..__Bê Tông - Máy Móc và Thiết Bị__Trạm Trộn Bê Tông & Thiết Bị Phụ Trợ__Bơm Bê Tông__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Pa Lăng, Pa lăng Xích, Pa Lăng Cáp Điện,..__Máy Trộn Bê Tông",www.thietbihuydo.com,'02438353364__0913213051',Ông Nguyễn Huy Độ,,male,,ctyhuydo@gmail.com,https://www.yellowpages.vn/lgs/1294776/thiet-bi-xay-dung-huy-do-cong-ty-tnhh-huy-do.html
Công Ty TNHH Xuyên Hà Việt,"Số 107, Đường Số 2, KĐT Vạn Phúc 1, KP. 5, P. Hiệp Bình Phước, Q. Thủ Đức,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Bê Tông - Máy Móc và Thiết Bị__Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Bảo Hộ Lao Động__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Đo Lường, Đo Đạc - Thiết bị Đo Lường, Đo Đạc",www.xuyenhaviet.com__www.santreo.net,'0917537089__02836369249',Ms. Trần Thị Diệu,,female,Phòng Hợp Đồng,info@xuyenhaviet.com,https://www.yellowpages.vn/lgs/1187676654/cong-ty-tnhh-xuyen-ha-viet.html
Công Ty Cổ Phần Dịch Vụ Và Đầu Tư Minh Giang,"Số 22, Ngõ 219, Đường Trần Cung, X. Cổ Nhuế, H. Từ Liêm,","Máy Xúc, Máy Đào, Máy ủi__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng",www.vme.vn,'02437561472__0916391639',Bầ Đỗ Thị Mai Hương,,,,huongdm@gmail.com,https://www.yellowpages.vn/lgs/1319277/cong-ty-co-phan-dich-vu-va-dau-tu-minh-giang.html
Chi Nhánh - Công Ty Cổ Phần Sản Xuất Và Thương Mại Việt Phát,"99 Đường số 10, KP. 5, P. Hiệp Bình Chánh, Q. Thủ Đức,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng",www.vanthangsumo.com__www.bestvietphat.com.vn,'0903232366__0949848026',Mr. Thắng,,male,,thangvanthangsumo@gmail.com,https://www.yellowpages.vn/lgs/1187833341/chi-nhanh-cong-ty-co-phan-san-xuat-va-thuong-mai-viet-phat.html
Công Ty TNHH Sản Xuất Thương Mại Thiên Hoàng Sơn,"Số 320 Phạm Văn Bách, P. 15, Q. Tân Bình,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.chothuesantreo.vn,'0989693958__0908775707__0985008048',Mr. Phiên,,male,,phien.dvp@gmail.com,https://www.yellowpages.vn/lgs/1187853603/cong-ty-tnhh-san-xuat-thuong-mai-thien-hoang-son.html
Công Ty Cổ Phần Tonado Việt Nam,"Số 50, Phố Miếu Đầm, P. Mễ Trì, Q. Nam Từ Liêm,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp",www.tonadovietnam.com,'02437876618',Hotline,X,,Phòng KD,nguyentam99.bbt@gmail.com,https://www.yellowpages.vn/lgs/1187746437/cong-ty-co-phan-tonado-viet-nam.html
Công Ty CP Dịch Vụ Và Đầu Tư Minh Giang,"Số 3/19 Hoàng Ngọc Phách, P. Láng Hạ, Q. Đống Đa,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Bê Tông - Máy Móc và Thiết Bị__Thiết Bị Nâng Hạ__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.vme.vn,'0983062368__0912100600',Đỗ Phi Hiệp,,,,dophihiep@cauthap.vn,https://www.yellowpages.vn/lgs/1299582/cong-ty-cp-dich-vu-va-dau-tu-minh-giang.html
Vận Thăng Việt Phát - Công Ty CP Sản Xuất Và Thương Mại Việt Phát,"Tầng 9, Số 14 Lê Đại Hành, P. Lê Đại Hành, Q. Hai Bà Trưng,","Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Xây Dựng - Máy Móc và Thiết Bị Xây Dựng",www.vanthangsumo.com,'0903232366',Mr. Nguyễn Công Thắng,,male,,thangvanthangsumo@gmail.com,https://www.yellowpages.vn/lgs/1187900439/van-thang-viet-phat-cong-ty-cp-san-xuat-va-thuong-mai-viet-phat.html
Công Ty TNHH Liftec Việt Nam,"Lô D3-1, KCN Hà Nội - Đài Tư 386 Nguyễn Văn Linh, Q. Long Biên,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Cầu Trục và Cổng Trục (Dầm Đơn, Dầm Đôi) - Thiết Kế, Chế Tạo và Lắp Đặt",www.liftecvn.com,'0944797991__02435563786',Mr. Phạm Xuân Hưng,,male,TP Marketing,liftecvn.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187689428/cong-ty-tnhh-liftec-viet-nam.html
Công Ty Cổ Phần Đầu Tư Cơ Khí & XD Minh Hưng,"1035 Nguyễn ảnh Thủ, P. Tân Chánh Hiệp, Q. 12,","Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Cốp Pha Thép, Khuôn Đúc Bê Tông__Giàn Giáo Xây Dựng Và Phụ Kiện__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng__Cơ Khí Xây Dựng (Vì Kèo Thép, Nhà Khung Thép, Kết Cấu Nhà Xưởng,..)",www.cokhixaydungminhhung.com,'0936527177__02866797247',Mr.  Nguyễn Văn Giáp,,male,,infominhhungmnc@gmail.com,https://www.yellowpages.vn/lgs/1187766123/cong-ty-co-phan-dau-tu-co-khi---xd-minh-hung.html
Công Ty Cổ Phần Sản Xuất Và Thương Mại Việt Phát,"P.409, Tầng 4 tòa nhà Hàn Việt Tower, 203 Minh Khai, Q. Hai Bà Trưng,","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Thiết Bị Nâng Hạ__Sàn Treo (Gondola), Giàn Giáo Treo - Cung Cấp và Cho Thuê__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.vanthangsumo.com__www.bestvietphat.com.vn,'0903232366__02435657748',Mr. Thắng,,male,,thangvanthangsumo@gmail.com,https://www.yellowpages.vn/lgs/1309923/cong-ty-co-phan-san-xuat-va-thuong-mai-viet-phat.html
"Shandong Katop Group Co.,Ltd","Bonded Zone, Industry Park, Shandong Province","Xây Dựng - Máy Móc và Thiết Bị Xây Dựng__Cẩu Tháp, Cần Cẩu Tháp, Cần Trục Tháp__Máy Xúc, Máy Đào, Máy ủi__Xe Công Trình, Máy Công Trình__Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",www.katopgroup.com,'0903711938__0987133690',Mr. Liêu Tô,,male,,lixingjianvtp@gmail.com,"https://www.yellowpages.vn/lgs/1187819901/shandong-katop-group-co.,ltd.html"
Công Ty TNHH J&B Drive Vina,"Lô CN2, Khu công nghiệp Nam Cầu Kiền, X. Kiền Bái, H. Thuỷ Nguyên,","Vận Thăng, Vận Thăng Nâng Hàng, Vận Thăng Lồng",,'0787376626',Ms. Hải,,female,,jbvlift@gmail.com,https://www.yellowpages.vn/lgs/1187885913/cong-ty-tnhh-j-b-drive-vina.html
