company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Vỏ Tủ Điện HAT - Công Ty TNHH Công Nghiệp HAT Việt Nam,"Số 6 Ngách 65 Ngõ 112 Đường ỷ La, TDP Trung Kiên, P. Dương Nội, Q. Hà Đông,","Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Bảng Điện__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.hatvnis.com,'0964803814__0976811241',Ms. Nguyễn Thị Trang,,female,Nhân Viên,sxvotudien@gmail.com,https://www.yellowpages.vn/lgs/1187915211/vo-tu-dien-hat-cong-ty-tnhh-cong-nghiep-hat-viet-nam.html
Nhà Thầu Cơ Điện Phú Triều - Công Ty TNHH Sản Xuất Thương Mại Xây Dựng Điện Phú Triều,"Số 153/41 Khu Phố 4, Bình Thành, P. Bình Hưng Hòa B, Q. Bình Tân,","Thang Máng Cáp, Thang Cáp, Máng Cáp__Vỏ Tủ Điện__Điện - Nhà Thầu Thi Công Điện__Tủ Bảng Điện__Nhà Thầu Cơ Điện, Cơ Điện Công Trình__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Trạm Biến áp - Thiết Kế Và Thi Công Trạm Biến áp",www.dienphutrieu.com,'0909606324__02862685443',Ông Vương Phú Nghiệp,,male,Giám Đốc,phutrieu79@gmail.com,https://www.yellowpages.vn/lgs/1187686773/nha-thau-co-dien-phu-trieu-cong-ty-tnhh-san-xuat-thuong-mai-xay-dung-dien-phu-trieu.html
Thiết Bị Điện Sáng Tạo Công Nghiệp - Công Ty Cổ Phần Sáng Tạo Công Nghiệp,"Lô A10 KCN Tân Thới Hiệp, Đường Nguyễn Ảnh Thủ, P. Hiệp Thành, Q. 12,","Thang Máng Cáp, Thang Cáp, Máng Cáp__Vỏ Tủ Điện__Tủ Điện Phân Phối__Tủ Bảng Điện__Tủ Điện Hạ Thế",www.sangtao.com.vn,'02837175486__0914624639',Ông Phùng Bùi Hoài Ngọc,X,male,Hotline,sangtao@sangtao.com.vn,https://www.yellowpages.vn/lgs/716829/thiet-bi-dien-sang-tao-cong-nghiep-cong-ty-co-phan-sang-tao-cong-nghiep.html
Thiết Bị Điện Vinh Nam - Công Ty TNHH Vinh Nam,"Số 6 Đội Nhân, P. Lộc Hòa, TP. Nam Định,","Tự Động Hóa - Hệ Thống và Thiết Bị Tự Động Hóa__Tủ Điện Trung Thế__Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Điện Công Nghiệp - Thiết Kế Và Thi Công Điện Công Nghiệp__Thiết Bị Điện Công Nghiệp__Tủ Điện Phân Phối__Tủ Tụ Bù__Tủ Điện Tổng__Tủ Bảng Điện__Tủ Điện Điều Khiển__Thiết Bị Điện - Dịch Vụ Sửa Chữa Thiết Bị Điện__Tủ Điện ATS__Tủ Điện Hạ Thế",www.vinhnamtech.com,'0987256363__02283841371__0913385851',Mr. Nguyễn Phong Phú,,male,Giám Đốc,vinavn@gmail.com,https://www.yellowpages.vn/lgs/1187741223/thiet-bi-dien-vinh-nam-cong-ty-tnhh-vinh-nam.html
Tủ Bảng Điện FULICO - Công Ty TNHH Kỹ Thuật Phương Linh,": Số 19, Đường 2 Tháng 9, P. Hòa Cường Nam, Q. Hải Châu,","Thang Máng Cáp, Thang Cáp, Máng Cáp__Vỏ Tủ Điện__Tủ Điện Phân Phối__Tủ Bảng Điện__Xe Đẩy Hàng, Xe Kéo Hàng",www.fulicovn.net,'02363676430__0913491786',Ông Nguyễn Hoài Nam,,male,Giám Đốc,namfulico@gmail.com,https://www.yellowpages.vn/lgs/1148430/tu-bang-dien-fulico-cong-ty-tnhh-ky-thuat-phuong-linh.html
Tủ Điện Thông Tài - Doanh Nghiệp Tư Nhân Thông Tài,"47/28 Đường Ao Đôi, KP. 5, P. Bình Trị Đông A, Q. Bình Tân,","Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Phân Phối__Tủ Tụ Bù__Tủ Bảng Điện__Tủ Rack, Tủ Mạng__Tủ Điện ATS__Tủ Điện Hạ Thế",www.tudienthongtai.com__www.tudienthongtai.vn,'0903641036__02866806828__0983634691',Mr. Phan Tuấn Phát,,male,,phat86xd@gmail.com,https://www.yellowpages.vn/lgs/1071351/tu-dien-thong-tai-doanh-nghiep-tu-nhan-thong-tai.html
Cơ Điện Delta - Công Ty TNHH Cơ Điện Delta Hà Nội,": Huyền Kỳ, Tổ Dân Phố Số 7, P. Phú Lãm, Q. Hà Đông,","Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Tủ Rack, Tủ Mạng__Tủ Nhựa, Tủ Sắt Văn Phòng (Tủ Đựng Tài Liệu, Tủ Locker, Đựng Quần áo)__Phòng Cháy Chữa Cháy - Thiết Bị Phòng Cháy Chữa Cháy",www.cokhidelta.com__www.votudiencongnghiep.com,'0967746855__0986122389',Hotline,X,,,kd.codiendelta@gmail.com,https://www.yellowpages.vn/lgs/1187875620/co-dien-delta-cong-ty-tnhh-co-dien-delta-ha-noi.html
Cơ Khí H2B - Công Ty CP Cung Cấp Thiết Bị Công Nghiệp H2B,"Số G52, KĐT Đồng Nguyên, P. Đồng Nguyên, TX. Từ Sơn,","Cơ Khí -  Gia Công và Chế Tạo__Vỏ Tủ Điện__Cắt Laser, Cắt Khắc Laser__Băng Tải - Các Công Ty Băng Tải__Cơ Khí - Chế Tạo Máy__Công Nghiệp - Máy Móc Và Thiết Bị Công Nghiệp__Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp",www.h2b.vn,'0983344967',Ông Nguyễn Văn Bắc,,male,,h2b@h2b.vn,https://www.yellowpages.vn/lgs/1187726019/co-khi-h2b-cong-ty-cp-cung-cap-thiet-bi-cong-nghiep-h2b.html
Công Ty TNHH Tân Đại Hưng," Đội 5, Thôn Yên Kiện, X. Ngọc Hồi, H. Thanh Trì (Gần C.A Xã Ngọc Hồi, Cách UBND Xã Ngọc Hồi 200m),","Thang Máng Cáp, Thang Cáp, Máng Cáp__Vỏ Tủ Điện__Tủ Điện Phân Phối__Tủ Tụ Bù__Tủ Bảng Điện__Tủ Điện Điều Khiển__Tủ Điện ATS__Tủ Điện Hạ Thế",www.inoxtandaihung.vn,'02436411867__0983332196',Bà Đỗ Thị Huyền,,female,NV Kinh Doanh,tandaihung.jsc@gmail.com,https://www.yellowpages.vn/lgs/1306839/cong-ty-tnhh-tan-dai-hung.html
Tủ Bảng Điện Trần Gia Bách - Công Ty TNHH MTV Trần Gia Bách,"43 Đường 28, P. Bình Trị Đông B, Q. Bình Tân,","Vỏ Tủ Điện__Thang Máng Cáp, Thang Cáp, Máng Cáp__Tủ Điện Phân Phối__Tủ Tụ Bù__Tủ Bảng Điện__Tủ Điện Điều Khiển__Bồn Chứa - Bồn Chứa Hóa Chất, Xăng Dầu, áp Lực, Công Nghiệp,.__Tủ Điện Hạ Thế__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị",www.trangiabach.com,'0907062676',Ông Trần Xuân Dũng,,male,Giám Đốc,tudientrangiabach@gmail.com,https://www.yellowpages.vn/lgs/1187706828/tu-bang-dien-tran-gia-bach-cong-ty-tnhh-mtv-tran-gia-bach.html
