company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Xe Đẩy Maxkiwi - Công Ty Cổ Phần Thiết Bị Công Nghiệp Lê Minh,"95/6/27 Lương Định Của, Phường Bình An, Quận 2,","Thiết Bị Nâng Hàng( Xe Nâng, Lồng Thép, Thùng Nhựa,..)__Xe Đẩy Hàng, Xe Kéo Hàng",www.maxkiwi.vn__www.xekeoday.com,'0909709005__0903353005',Mr. Vũ Đức Trình,,male,Giám Đốc,thaole@maxkiwi.vn,https://www.yellowpages.vn/lgs/1187914479/xe-day-maxkiwi-cong-ty-co-phan-thiet-bi-cong-nghiep-le-minh.html
Xe Đẩy Hàng HL Việt Nam - Công Ty TNHH Giải Pháp Mới HL Việt Nam,"Tầng 6 Tòa Nhà Việt Á , Số 9 Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy,","Xe Đẩy Hàng, Xe Kéo Hàng",www.hlvina.com,'0778994141',Mr. Phạm Hữu Lượng,,male,,info@cordstrapvn.com,https://www.yellowpages.vn/lgs/1187932020/xe-day-hang-hl-viet-nam-cong-ty-tnhh-giai-phap-moi-hl-viet-nam.html
Cơ Khí HTK Vina - Công Ty TNHH HTK Vina,"KCN Quế Võ mở rộng, X. Phương Liễu, H. Quế Võ,","Cơ Khí -  Gia Công và Chế Tạo__Cơ Khí - Dịch Vụ Gia Công Cắt, Chấn, Đột Dập Cơ Khí__Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Cơ Khí Dân Dụng (Tủ Tài Liệu, Giường Tầng, Bàn Ghế,..)__Gia Công Kim Loại Tấm (Hàn, Chấn, Đột Dập,..Tấm Kim Loại)__Cơ Khí - Chế Tạo Máy__Cơ Khí Công Nghiệp (Băng Chuyền, Đường ống, Bồn Khuấy,..)__Xe Đẩy Hàng, Xe Kéo Hàng",www.cokhihtkvina.bizz.vn,'0969751346__0978806028',Ms. Đỗ Thị Thắm,,female,Kinh doanh,htkvina1@gmail.com,https://www.yellowpages.vn/lgs/1187815854/co-khi-htk-vina-cong-ty-tnhh-htk-vina.html
Thiết Bị Phụ Trợ Công Nghiệp Bảo Vinh - Công Ty TNHH Thiết Bị Công Nghiệp Bảo Vinh,"Thôn Đại Tự, X. Kim Chung, H. Hoài Đức,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Đồ Gá (Đồ Gá Lắp Ráp, Kiểm Tra, Vạn Năng,..)__Bàn Thao Tác, Bàn Lắp Ráp__Băng Tải - Các Công Ty Băng Tải__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Xe Đẩy Hàng, Xe Kéo Hàng",www.baovinhgroup.com,'0983912383',Mr. Tiến,,male,,tienhm@baovinhgroup.vn,https://www.yellowpages.vn/lgs/1187838456/thiet-bi-phu-tro-cong-nghiep-bao-vinh-cong-ty-tnhh-thiet-bi-cong-nghiep-bao-vinh.html
Bánh Xe Đẩy Masters - Công Ty TNHH SX TM DV Hiện Đại,"Số 51/2N, Ấp Nam Lân, X. Bà Điểm, H. Hóc Môn,","Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Xe Đẩy Hàng, Xe Kéo Hàng",www.banhxeday.net,'02837129446__0947363679__0903168446',Hotline,X,,,banhxeday78@gmail.com,https://www.yellowpages.vn/lgs/1187837640/banh-xe-day-masters-cong-ty-tnhh-sx-tm-dv-hien-dai.html
Xe Đẩy Hàng VINAWHEEL - Công Ty TNHH VINAWHEEL,"47/14 Đường Ao Đôi, Phường Bình Trị Đông A, Quận Bình Tân,","Xe Đẩy Hàng, Xe Kéo Hàng",www.xedayhangcn.com__www.banhxecn.com,'0909514158',Mr Hà Dân Kiên,,male,Sale miền Nam,info@vinawheel.com,https://www.yellowpages.vn/lgs/1187769261/xe-day-hang-vinawheel-cong-ty-tnhh-vinawheel.html
Xe Đẩy Hàng - Kệ Chứa Hàng ANYO - Công Ty TNHH ANYO,"68 Đường Số 3, KDC Kim Sơn, P. Tân Phong, Q. 7,","Kệ Chứa Hàng, Kệ Công Nghiệp (Kệ Kho Hàng, Sắt, Thép,..)__Robot Công Nghiệp__Băng Tải - Các Công Ty Băng Tải__Lồng Trữ Hàng, Lồng Thép__Kệ Chứa Hàng Di Động__Giá Kệ Siêu Thị, Kệ Để Hàng Siêu Thị__Xe Đẩy Hàng, Xe Kéo Hàng",www.anyo.com.vn,'0935050022__0905749847',Hotline,X,,,sales@anyo.com.vn,https://www.yellowpages.vn/lgs/1187892648/xe-day-hang-ke-chua-hang-anyo-cong-ty-tnhh-anyo.html
Vạn Thắng Lợi,"144D, Đường Tạ Uyên, P. 6, Q. 11,","Công nghiệp - Vật Tư và Thiết Bị Công Nghiệp__Săm, Lốp Xe/ Vỏ, Ruột Xe - Sản Xuất Và Bán Buôn__Dây Curoa Và Đai Truyền (Bando, Mitsuboshi, Răng,.)__Vòng Bi, Bạc Đạn__Xe Cải Tiến, Xe Rùa__Bánh Xe Cao Su, Bánh Xe Chịu Lực__Bi Thép, Hạt Mài,.. Hạt Phun Bi__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Nâng Tay__Xe Đẩy Hàng, Xe Kéo Hàng",www.banhxeday.bizz.vn,'02839562969__0982735228',Hotline,X,,,vanthangloibanhxe@gmail.com,https://www.yellowpages.vn/lgs/1187841120/van-thang-loi.html
Lồng Sắt Nguyên Hưng - Công Ty TNHH Quốc Tế Nguyên Hưng,"Đường Số 2, KCN Nhơn Trạch 1, H. Nhơn Trạch,","Cơ Khí -  Gia Công và Chế Tạo__Lồng Trữ Hàng, Lồng Thép__Thiết Bị Nâng Hàng( Xe Nâng, Lồng Thép, Thùng Nhựa,..)__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Đẩy Hàng, Xe Kéo Hàng",www.longsatxeday.com,'0932014225',Ms. Vân,,female,Phó phòng kinh doanh,ngocvan318@gmail.com,https://www.yellowpages.vn/lgs/1187834076/long-sat-nguyen-hung-cong-ty-tnhh-quoc-te-nguyen-hung.html
Thiết Bị Nâng Hàng Sutech - Công Ty TNHH Sutech Việt Nam," 35/21 Phan Văn Hớn, P. Tân Thới Nhất, Q. 12,","Xe Nâng Hàng__Lồng Trữ Hàng, Lồng Thép__Thiết Bị Nâng Hàng( Xe Nâng, Lồng Thép, Thùng Nhựa,..)__Xe Nâng Hàng - Phụ Tùng Xe Nâng Hàng__Bánh Xe Đẩy, Bánh Xe Đẩy Công Nghiệp__Xe Đẩy Hàng, Xe Kéo Hàng",www.bannanghang.com__www.sutech.com.vn,'0909205159',Hotline,X,,,hailong.sutech@gmail.com,https://www.yellowpages.vn/lgs/1187757156/thiet-bi-nang-hang-sutech-cong-ty-tnhh-sutech-viet-nam.html
