company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Xi Mạ Quang Vinh - Công Ty Cổ Phần Phát Triển Công Nghệ Quang Vinh,"Số 129, Ngõ 40, Tổ Dân Phố 4 Miêu Nha, P. Tây Mỗ, Q. Nam Từ Liêm,","Sơn Tĩnh Điện__Xi Mạ - Trang Thiết Bị Xi Mạ__Sơn Tĩnh Điện - Dịch Vụ Sơn Tĩnh Điện Kim Loại__Bồn Bể Nhựa (Nhựa PP, PE, PVC,..) - Dịch Vụ Hàn, Chế Tạo Và Gia Công__Mạ Nhôm, Xi Mạ Nhôm__Xi Mạ - Công Ty Xi Mạ__Nhuộm Đen Kim Loại__Mạ Đồng, Xi Mạ Đồng",www.quangvinh.vn__www.thietbixima.vn,'0916060202__02437653589',Ông Nguyễn Đình Vinh,,male,Giám Đốc,quangvinh.ndv@gmail.com,https://www.yellowpages.vn/lgs/1187687268/xi-ma-quang-vinh-cong-ty-co-phan-phat-trien-cong-nghe-quang-vinh.html
Xi Mạ TECH COAT - Công Ty TNHH Công Nghiệp TECH COAT,"Thửa Đất Số 623, Tờ Bản Đồ Số 13, Đường Võ Thị Sáu, Tổ 4, KP. Khánh Hội, P. Tân Phước Khánh, TX. Tân Uyên,","Mạ Kẽm Nhúng Nóng, Nhúng Kẽm__Anode Nhôm, Anodized Nhôm__Mạ Kim Loại, Xi Mạ Kim Loại__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Mạ Crôm, Mạ Crôm Cứng__Mạ Nhôm, Xi Mạ Nhôm__Xi Mạ Vàng -  Nhận Mạ Vàng__Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Cơ Khí - Dịch Vụ Phục Hồi Chi Tiết Máy Và Khác,..__Nhuộm Đen Kim Loại__Mạ Đồng, Xi Mạ Đồng",www.techcoat.vn__www.macrom.vn,'02742208168__0931879822',Mrs. Điệp,,,TP. Kinh Doanh,kinhdoanh@techcoat.vn,https://www.yellowpages.vn/lgs/1187919993/xi-ma-tech-coat-cong-ty-tnhh-cong-nghiep-tech-coat.html
Xi Mạ Anotech - Công Ty Cổ Phần Anotech,"Lô E, Đường Số 2, KCN Đồng An, P. Bình Hòa, TX. Thuận An,","Xi Mạ - Công Ty Xi Mạ__Anode Nhôm, Anodized Nhôm__Mạ Nhôm, Xi Mạ Nhôm",www.anotech.com.vn,'02743763781__0906956245',Hotline,X,,,chiconghp@gmail.com,https://www.yellowpages.vn/lgs/1187755248/xi-ma-anotech-cong-ty-co-phan-anotech.html
Xi Mạ Phan Sinh - Công Ty TNHH Phan Sinh,"42 Khu Phố 2, Đình Phong Phú, P. Tăng Nhơn Phú B, Q. 9,","Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Mạ Kim Loại, Xi Mạ Kim Loại__Mạ Crôm, Mạ Crôm Cứng",www.phansinhjapan.com,'02837818835__0915303635',Hotline,X,,Bộ phận khách hàng,"sales@phansinhjapan.com, accounting@phansinhjapan.com",https://www.yellowpages.vn/lgs/712596/xi-ma-phan-sinh-cong-ty-tnhh-phan-sinh.html
Xi Mạ Hsieh Yuan - Công Ty TNHH Công Nghệ Hsieh Yuan Việt Nam,"Khu Công Nghiệp Khai Quang, TP. Vĩnh Yên,","Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Mạ Crôm, Mạ Crôm Cứng",www.ximadien.com,'02113717876__0978209512',Bà Nguyễn Kim Thanh,,female,,,https://www.yellowpages.vn/lgs/1187791410/xi-ma-hsieh-yuan-cong-ty-tnhh-cong-nghe-hsieh-yuan-viet-nam.html
Công Ty TNHH Công Nghệ Hóa Chất Minh Phú,"Thôn Lâm Trường, X. Minh Phú, H. Sóc Sơn,","Anode Nhôm, Anodized Nhôm__Mạ Kim Loại, Xi Mạ Kim Loại__Mạ Crôm, Mạ Crôm Cứng__Mạ Nhựa, Xi Mạ Nhựa__Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Nhuộm Đen Kim Loại__Mạ Đồng, Xi Mạ Đồng",www.ximaminhphu.com,'0912787811',Ông Phạm Văn Tùng,,male,,thminhhanh@gmail.com,https://www.yellowpages.vn/lgs/1187789613/cong-ty-tnhh-cong-nghe-hoa-chat-minh-phu.html
Xi Mạ VP Components - Công Ty TNHH VP Components Việt Nam,"Lô 104/2-1, Đường Số 2, KCN Amata, P. Long Bình, Tp. Biên Hòa,","Nhãn Mác Kim Loại, Tem Nhãn Inox,.__Xi Mạ - Công Ty Xi Mạ__Đánh Bóng Inox, Đánh Bóng Kim Loại (Nhôm, Đồng,..)",www.vpcomponentsvn.bizz.vn,'02513936779__0345315538',Mr. Diêu Thiệu Nam,,male,Phó GĐ Kinh doanh,kelvin_dieu@taizhan.com,https://www.yellowpages.vn/lgs/999465/xi-ma-vp-components-cong-ty-tnhh-vp-components-viet-nam.html
Xi Mạ Nam Thâu - Công Ty TNHH Nam Thâu,"169 Đường Số 11, P. Trường Thọ, Q. Thủ Đức,","Mạ Kim Loại, Xi Mạ Kim Loại__Mạ Crôm, Mạ Crôm Cứng__Mạ Nhôm, Xi Mạ Nhôm__Xi Mạ Vàng -  Nhận Mạ Vàng__Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Mạ Đồng, Xi Mạ Đồng",www.namthau.vn,'02837314526__0964528577',Ông Nguyễn Minh Chí,,male,,namthau@gmail.com,https://www.yellowpages.vn/lgs/1187767899/xi-ma-nam-thau-cong-ty-tnhh-nam-thau.html
Xi Mạ Đồng Tâm - Công Ty TNHH Ngũ Kim Đồng Tâm,"12/5 Phan Văn Hớn, P. Tân Thới Nhất, Q. 12,","Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Mạ Kim Loại, Xi Mạ Kim Loại",www.ximadongtam.bizz.vn,'02866825251__0906502917',Mr. Lực,,male,Kinh Doanh,lucvlltt@gmail.com,https://www.yellowpages.vn/lgs/1187743614/xi-ma-dong-tam-cong-ty-tnhh-ngu-kim-dong-tam.html
Xi Mạ Bu Sung Vina - Công Ty TNHH Bu Sung Vina,"Lô E7-2, KCN Minh Hưng - Hàn Quốc, X. Minh Hưng, H. Chơn Thành,","Mạ Kim Loại, Xi Mạ Kim Loại__Mạ Kẽm Nhúng Nóng, Nhúng Kẽm__Xi Mạ Vàng -  Nhận Mạ Vàng__Xi Mạ - Công Ty Xi Mạ__Mạ Niken, Xi Mạ Niken__Nhuộm Đen Kim Loại__Mạ Đồng, Xi Mạ Đồng",www.busungvina.bizz.vn,'0775991733__0978624455__027136454878',Bà Nguyễn Thị Toan,,female,Kế Toán,busungvina2012@gmail.com,https://www.yellowpages.vn/lgs/1187709678/xi-ma-bu-sung-vina-cong-ty-tnhh-bu-sung-vina.html
