company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Vật Liệu Mài Hải Dương - Công Ty Cổ Phần Vật Liệu Mài Hải Dương,"Số 173 Phố Đặng Thai Mai, Khu 6, P. Tân Bình, Tp. Hải Dương,","Đá Mài, Đá Cắt__Bi Thép, Hạt Mài,.. Hạt Phun Bi__Mài Mòn - Vật Liệu Mài Mòn",www.vatlieumaihaiduong.bizz.vn,'0916831656__02203867733',Hotline,X,,,vatlieumaihaiduong@gmail.com,https://www.yellowpages.vn/lgs/1187773419/vat-lieu-mai-hai-duong-cong-ty-co-phan-vat-lieu-mai-hai-duong.html
Vật Liệu Mài Mòn Hi-Chi - Công Ty TNHH MTV TM DV Hi-Chi,"T2D 3B/12, KP. Bình Thuận 2, P. Thuận Giao, TP. Thuận An,","Đá Mài, Đá Cắt__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.hichi.com.vn,'0946909449',Hotline,X,,,hichi.ltd@gmail.com,https://www.yellowpages.vn/lgs/1187930112/vat-lieu-mai-mon-hi-chi-cong-ty-tnhh-mtv-tm-dv-hi-chi.html
Vật Liệu Mài Mòn Nagoya - Công Ty TNHH MTV Thương Mại NAGOYA,"A22/1 Ấp Mỹ Hòa 2, X. Xuân Thới Đông, H. Hóc Môn,","Đá Mài, Đá Cắt__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.nagoya.bizz.vn,'0908892227__02835352227__0902763318',Mr. Lĩnh,,male,,nagoyaco17@gmail.com,https://www.yellowpages.vn/lgs/1187828775/vat-lieu-mai-mon-nagoya-cong-ty-tnhh-mtv-thuong-mai-nagoya.html
Đá Mài Đá Cắt Song Quang - Công Ty TNHH Song Quang,"116 Cô Giang, Phường 4, Tp. Vũng Tàu,","Đá Mài, Đá Cắt__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Giàn Giáo Xây Dựng Và Phụ Kiện__Máy Móc Cơ Khí, Thiết Bị Cơ Khí__Đo Lường, Đo Đạc - Thiết bị Đo Lường, Đo Đạc",www.songquang.vn,'0903917173__02543855534',Mr. Phan Thiện Tín,,male,Giám Đốc,phantin@hcm.vnn.vn,https://www.yellowpages.vn/lgs/691152/da-mai-da-cat-song-quang-cong-ty-tnhh-song-quang.html
Đá Mài Hải Dương - Công Ty Cổ Phần Đá Mài Hải Dương,"314 Điện Biên Phủ, P. Bình Hàn,","Khoáng Sản - Công Ty Khoáng Sản__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Bi Thép, Hạt Mài,.. Hạt Phun Bi",www.damaihaiduong.com.vn,'0919320559__02203850074',Ông Nguyễn Đình Sơn,,male,TP. Kinh doanh,nguyensondamahad@gmail.com.,https://www.yellowpages.vn/lgs/724434/da-mai-hai-duong-cong-ty-co-phan-da-mai-hai-duong.html
Vật Liệu Mài Mòn Tuyền Linh - Công Ty TNHH Thương Mại Tuyền Linh,"10/10 KP Thắng Lợi 2, P. Dĩ An, TP. Dĩ An,","Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Lơ, Nỉ, Sáp, Chổi Đánh Bóng, ..Vật Liệu Đánh Bóng__Hóa Mỹ Phẩm - Nhà Phân Phối Hóa Mỹ Phẩm__Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)__Que Hàn Và Dây Hàn",www.tuyenlinh.vn,'0909134450__02743796904',Mr. Linh,,male,,linh0505@gmail.com,https://www.yellowpages.vn/lgs/1187703723/vat-lieu-mai-mon-tuyen-linh-cong-ty-tnhh-thuong-mai-tuyen-linh.html
Vật Liệu Mài Mòn Minh Châu - Công Ty TNHH Công Nghiệp Minh Châu,"98/30A đường Linh Đông, KP. 7, P. Linh Đông, Tp. Thủ Đức,","Đá Mài, Đá Cắt__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.vatlieumai.com,'0917891808__02862780688',Ms. Châu,X,female,Hotline,chau.dinh@minhchauindustrial.com,https://www.yellowpages.vn/lgs/1187817309/vat-lieu-mai-mon-minh-chau-cong-ty-tnhh-cong-nghiep-minh-chau.html
Vật Liệu Mài Mòn S.D.A - Công Ty TNHH Sản Xuất Thương Mại S.D.A,"382/38/1 Đường Tân Kỳ Tân Quý, P. Sơn Kỳ, Q. Tân Phú,","Đá Mài, Đá Cắt__Giấy Nhám, Vải Nhám (Nhám Vòng, Xếp, Thùng, Chổi, Cuộn,.)__Mài Mòn - Vật Liệu Mài Mòn",www.sda.com.vn,'0918287747__02866503403__0938918368',Ông Cao An Khương,,male,Giám Đốc,khuong.caoan@gmail.com,https://www.yellowpages.vn/lgs/1187694213/vat-lieu-mai-mon-s.d.a-cong-ty-tnhh-san-xuat-thuong-mai-s.d.a.html
Vật Liệu Hàn Song Mã Việt - Công Ty Cổ Phần Song Mã Việt,"L3.06-OT04, Vinhomes Central Park, 720A Điện Biên Phủ, P. 22, Q. Bình Thạnh,","Mài Mòn - Vật Liệu Mài Mòn__Đá Mài, Đá Cắt__Cáp Hàn, Dây Cáp Hàn__Hàn - Thiết Bị Hàn Và Vật Liệu Hàn__Dụng Cụ Cầm Tay__Hàn - Vật Tư Hàn__Bột Đá, Bột Đá CaCO3__Dụng Cụ Điện Cầm Tay__Que Hàn Và Dây Hàn",www.songmaviet.com,'02873041279__0918343767',Ông Nguyễn Thành Trung,,male,,pkd@songmaviet.com,https://www.yellowpages.vn/lgs/1187761542/vat-lieu-han-song-ma-viet-cong-ty-co-phan-song-ma-viet.html
Cơ Khí Trường Giang - Công Ty TNHH Sản Xuất TMDV Phát Triển Cơ Khí Trường Giang,"349 An Dương Vương, Phường An Lạc, Quận Bình Tân,","Đá Mài, Đá Cắt__Thiết Bị Đo Cơ Khí, Dụng Cụ Đo Cơ Khí (Thước, Đồng Hồ,.)__Dụng Cụ Cầm Tay__Dụng Cụ Cắt Gọt (Dao Phay, Dao tiện, Mũi Khoan, Mũi Taro,.)",www.sieuthicokhi.org,'02837558179__0978808843',Hotline,X,,,sieuthicokhi.org@gmail.com,https://www.yellowpages.vn/lgs/1187681058/co-khi-truong-giang-cong-ty-tnhh-san-xuat-tmdv-phat-trien-co-khi-truong-giang.html
