company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Dịch Vụ Đúc Vân Long - Công Ty TNHH Vân Long,"Tổ Dân Phố 12, Thị Trấn Lâm, Huyện ý  Yên,","Gang Đúc - Sản Xuất Bàn Ghế, Trụ Đèn, Chi Tiết Gang,.__Đúc Theo Yêu Cầu - Tượng, Đỉnh, Tranh..Đa Dạng Sản Phẩm__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)",,'0912648787',Mr. Hoan,,male,,vanlongllc@gmail.com,https://www.yellowpages.vn/lgs/1187806545/dich-vu-duc-van-long-cong-ty-tnhh-van-long.html
Đúc Văn Hậu - Công Ty TNHH Một Thành Viên Sản Xuất Thương Mại Dịch Vụ Văn Hậu,"575/11/26 Cách Mạng Tháng Tám, P. 15, Q. 10,","Khuôn Đúc, Khuôn Đúc áp Lực__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Khuôn Mẫu",www.ducnhom.com,'0903600625__02838626478',Ông Võ Văn Hậu,,male,Giám Đốc,vanhaufriendly@yahoo.com,https://www.yellowpages.vn/lgs/1021143/duc-van-hau-cong-ty-tnhh-mot-thanh-vien-san-xuat-thuong-mai-dich-vu-van-hau.html
Cơ Khí Đúc Đức Đạt - Công Ty TNHH Cơ Khí Đúc Đức Đạt,"KCN Thị Trấn Lâm, H. ý Yên,","Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cơ Khí - Chế Tạo Máy",www.cokhiducdat.bizz.vn,'0969286866__0914975989',Mr Xuân,,male,Trưởng phòng kinh doanh,nguyenducxuan1989@gmail.com,https://www.yellowpages.vn/lgs/1187883090/co-khi-duc-duc-dat-cong-ty-tnhh-co-khi-duc-duc-dat.html
Đúc Gang Thép Miền Nam - Công Ty TNHH Đúc Gang Thép Miền Nam,"70/31/6A Đường 339, P. Phước Long B, Q. 9,","Gang Đúc - Sản Xuất Bàn Ghế, Trụ Đèn, Chi Tiết Gang,.__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cột Đèn Chiếu Sáng, Trụ Đèn Chiếu Sáng__Bàn Ghế Ngoài Trời",www.ducgangthep.com,'02836400607__0903378327',Ông Nguyễn Việt Cường,,male,,vietcuong1971@gmail.com,https://www.yellowpages.vn/lgs/1187753379/duc-gang-thep-mien-nam-cong-ty-tnhh-duc-gang-thep-mien-nam.html
Công Ty TNHH Một Thành Viên Tân Gia Hưng,"Ấp 3, X. Lương Bình, H. Bến Lức,","Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Khuôn Mẫu",www.tangiahung.com.vn,'02723639187__0903822006',Chhann Văn Mành,,,,info@tangiahung.com.vn,https://www.yellowpages.vn/lgs/1187714313/cong-ty-tnhh-mot-thanh-vien-tan-gia-hung.html
Công Ty TNHH ONTOPS,": 31 Lô S2, KDC An Hòa 2, P. An Bình, TP. Biên Hòa, ","Đèn LED__Công tắc và ổ cắm điện Dân Dụng__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu__Khuôn Mẫu__Khuôn Nhựa Định Hình, Khuôn Hút Chân Không__Khuôn Đột Dập",www.ontops.vn,'0919123525__02513685898',Ông Nguyễn Đình Tú,,male,,tund@ontops.vn,https://www.yellowpages.vn/lgs/1187739051/cong-ty-tnhh-ontops.html
Đồng Thau Tân Diệp Bình - Công Ty TNHH Tân Diệp Bình,"Số 952/5 Đường Lò Gốm, P. 8, Q. 6,","Đồng Thau, Đồng Đỏ, Đồng Tấm,.. Đồng Hợp Kim__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)",www.tandiepbinh.bizz.vn,'0903689734',Ms. Trần Ngọc Linh,,female,,tandiepbinh@gmail.com,https://www.yellowpages.vn/lgs/985644/dong-thau-tan-diep-binh-cong-ty-tnhh-tan-diep-binh.html
Đúc Cơ Khí Hưng Thành - Công Ty CP Cơ Khí Đúc Và TM Hưng Thành,"Tổ Dân Phố Số 13, Tống Xá, Thị Trấn Lâm, ý Yên,","Mỏ - Máy Móc và Thiết Bị__Bánh Răng (Bánh Răng Trụ, Côn, Xoắn,..)__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cơ Khí - Chế Tạo Máy__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.hungthanh.net.vn,'02283959222__0912666841__0981525068',Mr. Nguyễn Văn Hiển,,male,,hungthanhphattaijsc.tx@gmail.com,https://www.yellowpages.vn/lgs/1187706498/duc-co-khi-hung-thanh-cong-ty-cp-co-khi-duc-va-tm-hung-thanh.html
Cơ Khí Anh Vũ - Công Ty TNHH MTV Cơ Khí Anh Vũ,"Số 201, Ấp_Thanh_Hóa, X. Hố Nai 3, H. Trảng Bom,","Gang Đúc - Sản Xuất Bàn Ghế, Trụ Đèn, Chi Tiết Gang,.__Đúc Theo Yêu Cầu - Tượng, Đỉnh, Tranh..Đa Dạng Sản Phẩm__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cơ Khí - Gia Công Cơ Khí Theo Yêu Cầu",www.cokhianhvu.bizz.vn,'02513673170__0918262838',Ông Nguyễn Anh Vũ,,male,,nguyenanhvu08@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187764638/co-khi-anh-vu-cong-ty-tnhh-mtv-co-khi-anh-vu.html
Cơ Khí Đúc Minh Quang - Công Ty TNHH MTV Cơ Khí Đúc Minh Quang,"Tổ 12 Thị Trân Lâm, Huyện ý Yên,","Gang Đúc - Sản Xuất Bàn Ghế, Trụ Đèn, Chi Tiết Gang,.__Bánh Răng (Bánh Răng Trụ, Côn, Xoắn,..)__Đúc Chi Tiết - Đồng, Nhôm, Sắt, Thép (Chính Xác Theo Yêu Cầu)__Cơ Khí - Chế Tạo Máy__Vòng Bi, Bạc Đạn",www.bomcat.vn__www.vietnamcasting.vn,'0971862257',Mr. Nguyễn Hữu Quang,,male,Quản lí kinh doanh,cokhiducminhquang@gmail.com,https://www.yellowpages.vn/lgs/1187812260/co-khi-duc-minh-quang-cong-ty-tnhh-mtv-co-khi-duc-minh-quang.html
