company,address,industry,website,phone,contact_person,is_hotline,gender,position,email,url
Bu Lông ốc Vít Nam Việt - Công Ty TNHH Công Nghệ Thương Mại Nam Việt,"33 Đường 715 Tạ Quang Bửu, P. 4, Q. 8,","Guzong__Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Thanh Ren, Ty Ren, Guzong__Bulong Cường Độ Cao",www.namviet-tech.com.vn,'02862630062__0982995177',Mr. Vũ Đình Hải,,male,,info@namviet-tech.com.vn,https://www.yellowpages.vn/lgs/119292846/bu-long-oc-vit-nam-viet-cong-ty-tnhh-cong-nghe-thuong-mai-nam-viet.html
Công Ty TNHH Sản Xuất Thương Mại Tân Anh Thể,"Lô 6, Đường 4, Khu Công Nghiệp Tân Tạo, P. Tân Tạo A, Q. Bình Tân,","Guzong__ốc, Vít, Bù Loong__Đai ốc, E Cu, Tán__Bulong Inox, ốc Inox, Vít Inox",www.athe.com.vn,'0903901303__0968374523__0968373423__02837542446',Ông Tống Quang Lâm,,male,Giám Đốc,tongquanglam65@gmail.com,https://www.yellowpages.vn/lgs/1004139/cong-ty-tnhh-san-xuat-thuong-mai-tan-anh-the.html
ốc Vít Năm Long - Công Ty TNHH Công Nghiệp ốc Vít Năm Long,"Lô E1-E2, Đường Số 10, KCN Thuận Đạo Mở Rộng, X. Long Định, H. Cần Đước,","Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Phụ Kiện Inox (Tê, Co, Côn, Cút,..)__Dụng Cụ Cầm Tay__Máy Móc Cơ Khí, Thiết Bị Cơ Khí",www.ocvitnamlong.com,'02723939898__0909160838',Ms. Dung,,female,Phòng Kinh Doanh,ocvitnamlong168@gmail.com,https://www.yellowpages.vn/lgs/1187882001/oc-vit-nam-long-cong-ty-tnhh-cong-nghiep-oc-vit-nam-long.html
Buloong Kiến Quang - Công Ty TNHH MTV Kiến Quang,"Ấp 6, X. Mỹ Yên, H. Bến Lức,","ốc, Vít, Bù Loong__Bulong Nở, Vít Nở, Tắc Kê__Kim Khí - Vật Tư Và Phụ Kiện",www.buloongkienquang.com,'0903811447',Ông Tăng Kiến Quang,,male,Quản lý,tangkienquang@gmail.com,https://www.yellowpages.vn/lgs/1187745642/buloong-kien-quang-cong-ty-tnhh-mtv-kien-quang.html
Bulong ốc Vít Tuấn Tín Thành  - Công Ty TNHH Tuấn Tín Thành,"38/11 Đường DT743, KP. Bình Phước A, P. Bình Chuẩn, Thuận An,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Thanh Ren, Ty Ren, Guzong",www.tuantinthanh.bizz.vn,'0913629600',Ông Phạm Anh Tuấn,,male,,tuanvtbd2000@yahoo.com.vn,https://www.yellowpages.vn/lgs/1187754123/bulong-oc-vit-tuan-tin-thanh--cong-ty-tnhh-tuan-tin-thanh.html
Kinh Thuận - Công Ty TNHH Kinh Thuận,"T1/19M Tổ 1, KP. Bình Thuận 2, P. Thuận Giao, TX. Thuận An,","ốc, Vít, Bù Loong__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Đai ốc, E Cu, Tán",www.kinhthuan.bizz.vn,'0932668163__02743719142',Mr. Hoàng,,male,,ctykinhthuanbinhduong@gmail.com,https://www.yellowpages.vn/lgs/3749247/kinh-thuan-cong-ty-tnhh-kinh-thuan.html
ốc Vít Buloong Hải Phương - Công Ty TNHH Hải Phương,"Cụm 3, X. Liên Hiệp, H. Phúc Thọ,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Phụ Kiện Ngành Gỗ, Phụ Kiện Nội Thất - Sản Xuất và Cung Cấp__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Đai ốc, E Cu, Tán__Thanh Ren, Ty Ren, Guzong__Xi Mạ - Công Ty Xi Mạ",www.haiphuonggroup.com,'02433648292__0978986928',Mrs. Phương,,,Phó Giám Đốc,haiphuong.vn@gmail.com,https://www.yellowpages.vn/lgs/1187719719/oc-vit-buloong-hai-phuong-cong-ty-tnhh-hai-phuong.html
Cơ Khí FNF Việt Nam - Công Ty TNHH FNF Việt Nam,"Số 352, Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân,","Khóa - Nhập Khẩu Và Phân Phối Khóa__Phụ Kiện Cửa (Cửa Kính, Nhựa, Gỗ,.)__ống Nối, Khớp nối Kim Loại__ốc, Vít, Bù Loong__Nhựa - Dịch Vụ Sản Xuất, Gia Công Theo Yêu Cầu__Cơ Khí Chính Xác - Gia Công Chi Tiết, Linh Kiện, Phụ Tùng Theo Yêu Cầu__Khớp Nối Mềm",www.fnfvietnam.com,'0971652869',Hotline,X,,,fnf.vina@gmail.com,https://www.yellowpages.vn/lgs/1187844696/co-khi-fnf-viet-nam-cong-ty-tnhh-fnf-viet-nam.html
ốc Vít Bulong Tăng Hùng Phát  - Công Ty TNHH Tăng Hùng Phát,"209-211 Tân Thành, P. 15, Q. 5,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Bulong Inox, ốc Inox, Vít Inox__ốc, Vít, Bù Loong__Vòng Đệm, Long Đền__Bulong Nở, Vít Nở, Tắc Kê__Đai ốc, E Cu, Tán__Thanh Ren, Ty Ren, Guzong",,'02839554521__0931841328',Hotline,X,,,tranngochoa1230@yahoo.com,https://www.yellowpages.vn/lgs/1078776/oc-vit-bulong-tang-hung-phat--cong-ty-tnhh-tang-hung-phat.html
Bulong Tuấn Anh - Công Ty TNHH Cơ Khí Và Dịch Vụ Thương Mại Tuấn Anh,"Xóm Mới, Thôn Phương Nhị, X. Liên Ninh, H. Thanh Trì,","Bulong Neo, Bulong Móng, Bulong Lục Giác,..Các Loại__Bulong Inox, ốc Inox, Vít Inox__Bulong Hóa Chất__ốc, Vít, Bù Loong__Đai Treo ống (Hình Tròn, Quả Bí, Omega,..)__Thanh Ren, Ty Ren, Guzong",www.tuananhcompany.com.vn,'0977100152__02463282638',Hotline,X,,,bulongtuananh@gmail.com,https://www.yellowpages.vn/lgs/1187717235/bulong-tuan-anh-cong-ty-tnhh-co-khi-va-dich-vu-thuong-mai-tuan-anh.html
